article_title	article_author	article_publication_date	article_content
Respons Projo setelah Jokowi dan Keluarga Dipecat PDIP	CNN Indonesia	18-12-2024	"Organisasi relawan pendukung Presiden ketujuh RI Joko Widodo (Jokowi) atau Projo merespons keputusan DPP PDIP yang telah resmi memecat Jokowi dan keluarganya sebagai kader.Sekretaris Jenderal (Sekjen) Projo, Handoko meminta publik menunggu langkah politik yang akan dilakukan Jokowi selanjutnya.Lihat Juga :Polisi Sebut Sopir Taksi Ikut Jadi Tersangka Penembakan Brigadir Anton""Biasa saja [responsnya]. Soal langkah politik Pak Jokowi ke depan, kita tunggu saja,"" kata Handoko saat dihubungi, Rabu (18/12).Handoko tak mau berspekulasi soal peluang Jokowi akan bergabung dengan partai tertentu dalam waktu dekat. Dia juga tak menjawab saat ditanya soal langkah Projo ke depan, terutama soal peluang akan menjadi partai.""Tunggu saja ya. Biar Pak Jokowi yang memutuskan langkah-langkah selanjutnya,"" kata Handoko.Ketua Umum PDIP, Megawati Soekarnoputri akhirnya resmi memecat Jokowi dari keanggotaan partai sejak hubungan keduanya merenggang jelang Pilpres 2024.Lihat Juga :Keluarga Gamma Surati Kapolri, Minta Tegas ke Kapolrestabes SemarangKetua DPP PDIP Bidang Kehormatan Partai, Komarudin Watubun mengumumkan surat resmi pemecatan Jokowi beserta anak dan menantunya, Gibran Rakabuming dan Bobby Nasution, Senin (16/12).Pemecatan itu tertuang dalam tiga surat keputusan (SK) yang berbeda. Masing-masing SK Nomor 1649 untuk Jokowi, SK Nomor 1650 untuk Gibran, dan SK Nomor 1651 untuk Bobby. Tiga surat itu diteken Megawati dan Sekjen PDIP Hasto Kristiyanto pada 4 Desember 2024.Komar menyebut Jokowi dianggap telah menyalahgunakan kekuasaannya untuk mengintervensi MK dengan mencalonkan putranya Gibran Rakabuming maju di Pilpres 2024 menjadi wakil Prabowo Subianto.""Menyalahgunakan kekuasaan untuk mengintervensi MK yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin partai, dikategorikan sebagai pelanggaran berat,"" demikian bunyi keterangan pemecatan Jokowi dikutip dari surat resmi yang diterima CNNIndonesia.com.Lihat Juga :2 ASN Sulbar Ikut Jaringan Uang Palsu UIN Makassar Terancam Dipecat"
VIDEO: Nasdem Sebut Terbuka Bagi Jokowi Kalo Ingin Gabung	CNN Indonesia	18-12-2024	Ketua DPP Partai Nasdem Willy Aditya menyebut partainya terbuka bagi Jokowi.Namun ia enggan menyarankan apapun dan menyerahkan penuh kepada Jokowi apakah hendak berpartai atau tidak.Willy berguyon, Jokowi telah merasakan nyamannya pundak Ketua Umum Partai Nasdem Surya Paloh.Maka Nasdem terbuka bagi siapapun termasuk Jokowi.
VIDEO:PDIP Pecat Jokowi, Gibran, Bobby, Siti Zuhro: Tepat But Too Late	CNN Indonesia	18-12-2024	Pengamat politik sekaligus peneliti Badan Riset Dan Inovasi Nasional atau BRIN Siti Zuhro menilai pemecatan terhadap Joko Widodo, Gibran Rakabuming Raka, dan Bobby Nasution sebenarnya terlambat dilakukan oleh PDI Perjuangan.Walau ragu akan bergabung dengan Gerindra, menurut Siti, Jokowi, dan Gibran tetap akan berlabuh ke salah satu partai politik sebab saat ini berstatus sebagai non kader.Hal ini disampaikan Siti di Jakarta Selasa siang.Siti mengungkap keputusan PDIP memecat Jokowi, Gibran, dan Bobby sudah tepat walau terlambat karena pertimbangan internal PDIP. Menurut Siti, tak mudah bagi Jokowi dan Gibran langsung bergabung dengan partai lain seperti golkar yang memiliki banyak faksi.Siti menambahkan, kemungkinan bergabung dengan Gerindra pun masih diragukan selama Prabowo masih menjadi ketua umum.
Beda Respons Jokowi, Gibran, dan Bobby Usai Dipecat PDIP	CNN Indonesia	18-12-2024	"Presiden ke-7 RI Joko Widodo, Wakil Presiden Gibran Rakabuming Raka, hingga Calon Gubernur Sumatera Utara Bobby Nasution telah buka suara usai dipecat PDIP dari keanggotaan partai.PDIP memiliki pertimbangan yang sama terkait alasan memecat Gibran dan Bobby. Mereka dinyatakan melanggar etik partai karena maju di Pilkada dan Pilpres 2024 dari partai lain.Terkhusus Jokowi, PDIP memecat Eks Gubernur Jakarta itu lantaran dinilai menyalahgunakan kekuasaan untuk mengintervensi MK.Berikut respons mereka atas keputusan pemecatan yang dilakukan PDIP berdasarkan rangkuman CNNIndonesia.com:Lihat Juga :Apakah Jokowi Masih Punya Pengaruh Politik Usai Dipecat PDIP?JokowiJokowi mengaku menghormati keputusan PDIP memecat dirinya. Ia mengatakan tidak akan membela diri atau menanggapi keputusan tersebut.Namun, Jokowi tak menjawab terkait apakah dirinya akan mengembalikan KTA partai berlambang banteng bermoncong putih itu.""Saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Nanti, waktu yang akan mengujinya, saya rasa itu saja,"" kata Jokowi di Solo, Jawa Tengah, Selasa (17/12).Sementara itu, terkait soal kemungkinannya membuat partai politik baru, ia kembali menyinggung partai perorangan.""Saya sudah menyampaikan, partai perorangan,"" tutur dia.Lihat Juga :Jejak 20 Tahun Jokowi di PDIP, Berujung Dipecat MegawatiGibranGibran pun sama seperti Jokowi dalam merespons pemecatan dari PDIP. Anak sulung Jokowi itu mengaku menghormati keputusan tersebut.""Ya kami menghargai dan hormati putusan partai,"" kata Gibran di Lanud Halim Perdanakusuma, Jakarta, Selasa (17/12).Ia juga irit bicara saat ditanya apakah akan bergabung ke partai lain usai dipecat PDIP. Ia meminta seluruh awak media dan masyarakat menunggu.""Tunggu saja,"" ujar Gibran.Gibran lalu mengungkit ia dan Ketua Umum PP Pemuda Katolik Stefanus Gusma senasib lantaran sama-sama dikeluarkan dari partai PDIP.Hal ini ia sampaikan dalam acara pelantikan Pengurus Pusat Pemuda Katolik di Kantor KWI, Jakarta, Selasa (17/12). Gusma merupakan Ketum Pemuda Katolik periode 2024-2029 yang telah memutuskan keluar dari PDIP.""Selamat kepada ketua dan seluruh jajaran yang baru saja dilantik malam ini. Jadi sebenarnya Mas Gusma ini senasib dengan saya, baru saja dikeluarkan dari partai,"" kata Gibran yang disambut tawa hadirin yang hadir.Bobby NasutionRespons yang diberikan Bobby terkait pemecatan dari PDIP berbeda jika dibandingkan dengan Jokowi dan Gibran. Ia berdalih sudah lama berstatus kader Gerindra.""Saya kan Gerindra, sudah dari kemarin, bukan dari sekarang,"" kata Bobby tersenyum di Hotel Mercure, Medan, Selasa (17/12).Akan tetapi, Bobby mengklaim tetap memiliki hubungan baik dengan kader PDIP lain meski telah dipecat.""Dengan PDIP baik, tadi duduk di samping anggota DPRD Medan dari PDIP,"" jelas dia.Lihat Juga :Isi Lengkap Surat Pemecatan Jokowi, Gibran dan Bobby dari PDIP"
VIDEO: Dipecat PDIP, Jokowi: Ndak Apa, Waktu Yang Akan Mengujinya	CNN Indonesia	18-12-2024	Presiden Indonesia ke-7, Joko Widodo memberikan tanggapan soal pemecatan dirinya dari PDIP.Ia mengatakan, biar waktu yang akan mengujinya.Jokowi menambahkan, saat ini ia tidak dalam posisi untuk melakukan pembelaan atau memberikan penilaian atas keputusan tersebut.
Apakah Jokowi Masih Punya Pengaruh Politik Usai Dipecat PDIP?	CNN Indonesia	18-12-2024	"Presiden ke-7 RI Joko Widodo (Jokowi) dianggap masih memiliki pengaruh besar dalam beberapa waktu ke depan meski saat ini tidak memiliki jabatan dan sudah dipecat dari PDIP.Jokowi dinilai akan menjadi sosok yang mengandalkan pribadi sebagai mantan presiden. Meski saat ini tak berpartai, Jokowi disebut tetap kuat secara personal di mata publik sebagai politikus.""Menurut saya Jokowi ini harus dilihat sebagai figur yang mengandalkan personality. Jadi itu yang kemudian kenapa ketika ditanya oleh awak media, Jokowi menjawab per orangan,"" kata Direktur Eksekutif Arus Survei Indonesia (ASI), Ali Rif'an saat dihubungi, Selasa (17/12).""Karena dia tanpa partai sekalipun itu leading. Pengaruh dia itu memang besar,"" imbuhnya.Lihat Juga :Jejak 20 Tahun Jokowi di PDIP, Berujung Dipecat MegawatiAli karenanya meyakini Jokowi masih akan memiliki pengaruh yang kuat dalam dinamika politik Tanah Air.Ia mengingatkan Jokowi saat ini masih memiliki anak yang menjabat sebagai Wakil Presiden dan Ketua Umum partai. Termasuk menantu yang baru saja terpilih sebagai gubernur.""Nah artinya karena keluarga Jokowi di politik sepertinya pengaruh Jokowi akan tetap dirawat. Apakah beliau akan bergabung di Golkar atau ke Gerindra, atau membuat Projo menjadi partai, atau seperti sekarang ini, itu tergantung nanti,"" katanya.Ali belum bisa membaca arah politik Jokowi ke depan. Apakah akan bergabung dengan partai atau tetap di posisinya saat ini. Namun, dia menduga Jokowi tengah melihat dinamika dalam beberapa waktu ke depan terutama melihat pengaruhnya.Jika bergabung dengan partai, hanya ada dua partai politik yang memiliki kans paling besar dipilih Jokowi, yakni Golkar dan Gerindra. Pilihan bergabung dengan partai lebih masuk akal buat Jokowi ketimbang membuat partai yang memerlukan ongkos tak sedikit.""Tapi menurut saya Jokowi lebih nyaman seperti sekarang. Sambil melihat peta ke depan. Yang jelas Jokowi memang interest politiknya masih kuat karena anaknya sekarang wapres dan keluarganya semua di politik,"" katanya.Lihat Juga :Jokowi soal Dipecat PDIP: Biar Waktu yang Akan MengujiKetua Umum PDIP, Megawati Soekarnoputri resmi memecat Jokowi dari keanggotaan partai sejak hubungan keduanya merenggang jelang Pilpres 2024.Ketua DPP PDIP Bidang Kehormatan Partai, Komarudin Watubun mengumumkan surat pemecatan Jokowi beserta anak dan menantunya, Gibran Rakabuming dan Bobby Nasution, pada Senin (16/12) lalu.Pemecatan itu tertuang dalam tiga surat keputusan (SK) yang berbeda. Masing-masing SK Nomor 1649 untuk Jokowi, SK Nomor 1650 untuk Gibran, dan SK Nomor 1651 untuk Bobby. Tiga surat itu diteken Megawati dan Sekjen PDIP Hasto Kristiyanto pada 4 Desember 2024.Komar menyebut Jokowi dianggap telah menyalahgunakan kekuasaannya untuk mengintervensi MK dengan mencalonkan putranya Gibran Rakabuming maju di Pilpres 2024 menjadi wakil Prabowo Subianto.""Menyalahgunakan kekuasaan untuk mengintervensi MK yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin partai, dikategorikan sebagai pelanggaran berat,"" demikian bunyi keterangan pemecatan Jokowi dikutip dari surat resmi yang diterima CNNIndonesia.com.Lihat Juga :Gibran Ungkap Dirinya Senasib dengan Ketua PP Pemuda KatolikMerespons itu, Jokowi mengaku menghormati keputusan PDIP yang telah memecatnya. Ia mengaku tidak ingin membela diri atau mencari pembenaran terkait sikap PDIP.""Ya, enggak apa-apa, saya menghormati itu,"" katanya di Solo, Jawa Tengah, Selasa (17/12).""Saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Nanti, waktu yang akan mengujinya, saya rasa itu saja,"" imbuhnya.Sementara, terkait kemungkinannya membuat partai politik baru, ia kembali menyinggung partai perorangan.""Saya sudah menyampaikan, partai perorangan,"" katanya."
Dipecat dari PDIP, Jokowi Mengaku Hormati dan Tak Akan Bela Diri	CNN Indonesia	17-12-2024	"Presiden ketujuh RI Joko Widodo (Jokowi) mengaku tak akan membela diri atau mencari pembenaran atas keputusan DPP PDIP memecatnya dari kader partai tersebut.Dia mengaku menghormati keputusan PDIP yang telah memecatnya, termasuk dan putra serta menantunya Gibran Rakabuming Raka dan Bobby Nasution sebagai kader.""Ya, enggak apa-apa, saya menghormati itu,"" kata Jokowi kepada wartawan di kediaman pribadinya di Sumber, Banjarsari, Solo, Jawa Tengah, Selasa (17/12).""Saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Nanti, waktu yang akan mengujinya, saya rasa itu saja,"" imbuh dia yang diantar PDIP jadi kepala daerah hingga Presiden selama dua periode itu.Saat ditanya soal pengembalian kartu tanda anggota (KTA) PDIP ke partai, Jokowi hanya menanggapi dengan senyuman.Lihat Juga :Jokowi soal Dipecat PDIP: Biar Waktu yang Akan MengujiSementara itu, terkait soal kemungkinannya membuat partai politik baru, ia kembali menyinggung partai perorangan.""Saya sudah menyampaikan, partai perorangan,"" kata ayah dari Ketum Partai Solidaritas Indonesia (PSI), Kaesang Pangarep itu.Mengenai alasan pemecatan, ia tidak ingin mencari pembenaran terkait hal itu.""Tadi sudah saya sampaikan, saya tidak dalam posisi membela atau memberikan penilaian, karena sudah diputuskan. Nanti, nanti waktu yang akan mengujinya,"" katanya.PDIP resmi memecat Jokowi, Gibran dan Bobby Nasution pada Senin (16/12).Lihat Juga :Isi Lengkap Surat Pemecatan Jokowi, Gibran dan Bobby dari PDIPPemecatan diumumkan secara terbuka oleh Ketua DPP PDIP Bidang Kehormatan Partai Komarudin Watubun.Komarudin ditemani sejumlah Ketua DPP PDIP lain dari mulai Bambang Wuryanto (Bambang Pacul yang juga Ketua DPD PDIP Jateng), Said Abdullah, hingga Olly Dondokambey.""Saya Komarudin Watubun Ketua Bidang kehormatan PDI Perjuangan bersama ini tanggal 16 Desember 2024 saya mendapat perintah langsung dari ketua umum PDIP untuk mengumumkan secara resmi sesuai AD ART partai di depan seluruh jajaran ketua DPD partai seluruh Indonesia,"" kata Komar dalam siaran video yang diterima CNNIndonesia.com.""DPP partai akan mengumumkan SK pemecatan terhadap saudara Joko Widodo, Gibran Rakabuming Raka, dan Bobby Nasution serta 27 anggota lain yang kena pemecatan,"" imbuhnya.SK Pemecatan itu tertuang dalam SK Nomor 1649/KPTS/DPP/XII/2024 tentang pemecatan Jokowi dari keanggotaan PDIP.""Menetapkan, memberi sanksi pemecatan kepada Jokowi dari keanggotaan PDIP,"" ucap Komar membacakan surat keputusan itu.Lihat Juga :KPK Minta Bantuan Publik Laporkan Aset Dedy Mandarsyah Ayah Lady"
Jokowi soal Dipecat PDIP: Biar Waktu yang Akan Menguji	CNN Indonesia	17-12-2024	"Mantan presiden Joko Widodo menghormati keputusan PDIP yang telah memecatnya, termasuk dan putra serta menantunya Gibran Rakabuming Raka dan Bobby Nasution sebagai kader.""Ya, enggak apa-apa, saya menghormati itu,"" katanya di Solo, Jawa Tengah, Selasa (17/12).Ia mengaku tidak ingin membela diri atau mencari pembenaran terkait sikap PDIP.""Saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Nanti, waktu yang akan mengujinya, saya rasa itu saja,"" katanya.Disinggung soal pengembalian kartu tanda anggota (KTA) ke partai, ia hanya menanggapi dengan senyuman.Lihat Juga :Respons Bobby Nasution Usai Dipecat PDIP: Saya kan GerindraSementara itu, terkait soal kemungkinannya membuat partai politik baru, ia kembali menyinggung partai perorangan.""Saya sudah menyampaikan, partai perorangan,"" katanya.Mengenai alasan pemecatan, ia tidak ingin mencari pembenaran terkait hal itu.""Tadi sudah saya sampaikan, saya tidak dalam posisi membela atau memberikan penilaian, karena sudah diputuskan. Nanti, nanti waktu yang akan mengujinya,"" katanya.PDIP resmi memecat Jokowi, Gibran dan Bobby Nasution pada Senin (16/12).Lihat Juga :Isi Lengkap Surat Pemecatan Jokowi, Gibran dan Bobby dari PDIPPemecatan diumumkan secara terbuka oleh Ketua DPP PDIP Bidang Kehormatan Partai Komarudin Watubun ditemani sejumlah Ketua DPP PDIP lain, mulai dari Bambang Wuryanto, Said Abdullah, hingga Olly Dondokambey.""Saya Komarudin Watubun Ketua Bidang kehormatan PDI Perjuangan bersama ini tanggal 16 Desember 2024 saya mendapat perintah langsung dari ketua umum PDIP untuk mengumumkan secara resmi sesuai AD ART partai di depan seluruh jajaran ketua DPD partai seluruh Indonesia,"" kata Komar dalam siaran video yang diterima CNNIndonesia.com.""DPP partai akan mengumumkan SK pemecatan terhadap saudara Joko Widodo, Gibran Rakabuming Raka, dan Bobby Nasution serta 27 anggota lain yang kena pemecatan,"" imbuhnya.SK Pemecatan itu tertuang dalam SK Nomor 1649/KPTS/DPP/XII/2024 tentang pemecatan Jokowi dari keanggotaan PDIP.""Menetapkan, memberi sanksi pemecatan kepada Jokowi dari keanggotaan PDIP,"" ucap Komar membacakan surat keputusan itu."
Jejak 20 Tahun Jokowi di PDIP, Berujung Dipecat Megawati	CNN Indonesia	17-12-2024	"Ketua Umum PDIP, Megawati Soekarnoputri akhirnya resmi memecat Joko Widodo (Jokowi) dari keanggotaan partai sejak hubungan keduanya merenggang jelang Pilpres 2024.Ketua DPP PDIP Bidang Kehormatan Partai, Komarudin Watubun mengumumkan surat resmi pemecatan Jokowi beserta anak dan menantunya, Gibran Rakabuming dan Bobby Nasution, Senin (16/12).Pemecatan itu tertuang dalam tiga surat keputusan (SK) yang berbeda. Masing-masing SK Nomor 1649 untuk Jokowi, SK Nomor 1650 untuk Gibran, dan SK Nomor 1651 untuk Bobby. Tiga surat itu diteken Megawati dan Sekjen PDIP Hasto Kristiyanto pada 4 Desember 2024.Komar menyebut Jokowi dianggap telah menyalahgunakan kekuasaannya untuk mengintervensi MK dengan mencalonkan putranya Gibran Rakabuming maju di Pilpres 2024 menjadi wakil Prabowo Subianto.""Menyalahgunakan kekuasaan untuk mengintervensi MK yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin partai, dikategorikan sebagai pelanggaran berat,"" demikian bunyi keterangan pemecatan Jokowi dikutip dari surat resmi yang diterima CNNIndonesia.com.Lihat Juga :Alasan PDIP Baru Pecat Jokowi: Jaga Martabat sebagai PresidenMenjadi kader dan maju Pilkada SoloJokowi resmi menjadi kader PDIP selama 20 tahun sejak bergabung pada 2004 silam jelang pencalonannya sebagai wali kota Solo. Kala itu, ia menduduki posisi sebagai salah satu pengurus di DPC PDIP Solo.Setahun setelahnya pada 2005, pria kelahiran 21 Juni 1961 maju di Pilkada Kota Solo diusung PDIP dan PKB. Jokowi maju bersama politikus senior PDIP Solo FX Hadi Rudyatmo atau FX Rudy dan menang dengan mengantongi 36,62 persen suara.Jokowi dan FX Rusy lalu maju kembali untuk periode keduanya pada 2010 dan menang mutlak usai memperoleh 90,09 persen. Perolehan suara itu menjadi sejarah dalam pemilu di Indonesia.Lihat Juga :Daftar 27 Kader PDIP Dipecat Terkait Pilpres-Pilkada 2024Maju Pilgub Jakarta hingga PilpresBelum genap lima tahun di periode keduanya, Jokowi kemudian diboyong untuk maju di Pilgub DKI Jakarta pada 2012. Jokowi dianggap sukses selama di Solo dan rekam jejaknya menarik perhatian para pimpinan partai di Jakarta.Di Pilkada Jakarta 2012, Jokowi maju bersama Basuki Tjahaja Purnama alias Ahok yang kala itu baru bergabung dengan Partai Gerindra usai pindah dari Golkar. Keduanya menang dan dilantik pada Oktober 2012.Menjelang Pilpres 2014, Jokowi kemudian santer diisukan maju usai namanya moncer di sejumlah hasil survei. Megawati Soekarnoputri, Ketua Umum PDIP, akhirnya resmi mengusung Jokowi yang belum genap dua tahun menjadi gubernur Jakarta.Jokowi yang maju bersama Jusuf Kalla menang mengalahkan pasangan Prabowo Subianto-Hatta Rajasa.Setelah selesai pada periode pertama, PDIP kembali mengusung Jokowi pada Pilpres 2019. Kali ini Jokowi berpasangan dengan Ma'ruf Amin.Lagi-lagi Jokowi berhasil menumbangkan Prabowo yang menggandeng Sandiaga Uno. Jokowi berhasil mencatatkan sejarah sebagai tokoh sipil yang bisa menjabat presiden dua periode pasca-reformasi.Selepas pertarungan sengit, Jokowi mengajak Prabowo bergabung dalam pemerintahan. Jokowi memberinya kursi Menteri Pertahanan.[Gambas:Infografis CNN]Panas dingin hubungan PDIP-JokowiHubungan Jokowi dan PDIP mulai diisukan merenggang memasuki tahun 2023.Ketua Umum PDI Perjuangan (PDIP) Megawati Soekarnoputri mengungkit pentingnya peranan partainya bagi Jokowi. Ia mengatakan Jokowi bukan apa-apa tanpa Partai Banteng.""Pak Jokowi itu ya ngono loh, mentang-mentang. Lah iya, padahal Pak Jokowi kalau enggak ada PDI Perjuangan juga, duh kasihan dah,"" kata Megawati dalam acara HUT ke-50 PDIP di JIExpo Kemayoran, 10 Januari 2023.Pernyataan Megawati itu disambut tepuk tangan ribuan kader yang hadir. Sementara Jokowi hanya tersenyum mendengar perkataan ketua umumnya tersebut.Berlanjut ke halaman berikutnya..."
27 Kader Dipecat PDIP, Cuma Jokowi yang Pelanggarannya Beda Sendiri	CNN Indonesia	17-12-2024	"PDIP secara resmi mengumumkan pemecatan Presiden ke-7 RI Joko Widodo (Jokowi), Wakil Presiden Gibran Rakabuming Raka, dan Bobby Nasution dari keanggotaan partai.Pengumuman pemecatan itu disampaikan oleh Ketua DPP PDIP Bidang Kehormatan Partai Komarudin Watubun ditemani sejumlah Ketua DPP DPP PDIP lain, mulai dari Bambang Wuryanto, Said Abdullah, hingga Olly Dondokambey.""Saya Komarudin Watubun Ketua Bidang kehormatan PDI Perjuangan bersama ini tanggal 16 Desember 2024 saya mendapat perintah langsung dari ketua umum PDIP untuk mengumumkan secara resmi sesuai AD ART partai di depan seluruh jajaran ketua DPD partai seluruh Indonesia,"" kata Komar dalam siaran video yang diterima.""DPP partai akan mengumumkan SK pemecatan terhadap saudara Joko Widodo, Gibran Rakabuming Raka, dan Bobby Nasution serta 27 anggota lain yang kena pemecatan,"" imbuhnya.Lihat Juga :Alasan PDIP Baru Pecat Jokowi: Jaga Martabat sebagai PresidenSK Pemecatan itu tertuang dalam SK Nomor 1649/KPTS/DPP/XII/2024 tentang pemecatan Jokowi dari keanggotaan PDIP.""Menetapkan, memberi sanksi pemecatan kepada Jokowi dari keanggotaan PDIP,"" ucap Komar membacakan surat keputusan itu.PDIP dengan demikian juga melarang Jokowi untuk melakukan kegiatan atau menduduki jabatan apapun atas nama PDIP. SK juga menegaskan sejak surat itu, PDIP tak memiliki hubungan apapun dengan Jokowi.""Empat, DPP PDIP akan mempertanggungjawabkan SK ini pada Kongres yang akan datang,"" ucap Komar.Menyalahgunakan kekuasaan untuk mengintervensi MK yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin partai, dikategorikan sebagai pelanggaran beratBunyi pelanggaran Jokowi yang jadi dasar pemecatan PDIPDalam SK Nomor 1649, PDIP menyebut Jokowi telah melanggar AD ART, kode etik dan disiplin partai dengan melawan secara terang-terangan keputusan partai yang mencalonkan Ganjar Pranowo-Mahfud MD di Pilpres 2024. Jokowi disebut, justru mendukung calon yang diusung Koalisi Indonesia Maju (KIM).Jokowi disebut juga telah menyalahgunakan kekuasaannya dengan mengintervensi Mahkamah Konstitusi (MK). PDIP juga menganggap tindakan Jokowi sebagai pelanggaran berat.Pelanggaran juga dilakukan Gibran dan Bobby seperti termuat dalam SK Nomor 1640 dan 1651. Keduanya dianggap melakukan pelanggaran berat karena menentang keputusan partai yang mengusung Ganjar-Mahfud di Pilpres 2024.Daftar 27 kader dipecat di halaman selanjutnya...Lihat Juga :Isi Lengkap Surat Pemecatan Jokowi, Gibran dan Bobby dari PDIP"
