article_title	article_author	article_publication_date	article_content
Budi Arie Diperiksa Korps Pemberantasan Korupsi Polri	CNN Indonesia	2024/12/19 13:04:03	"Korps Pemberantasan Tindak Pidana Korupsi (Kortas Tipikor) Polri memanggil Menteri Koperasi Budi Arie Setiadi, Kamis (19/12) dengan pemeriksaan diduga terkait kasus penyalahgunaan wewenang pemblokiran kasus judi online. Budi Arie sebelumnya menjabat sebagai Menteri Komunikasi dan Informatika (sekarang Kementerian Komunikasi Digital) di era Joko Widodo (Jokowi).""Betul,"" kata Wakil Kepala Kortas Tipikor Brigjen Arief Adiharsa saat dikonfirmasi soal pemeriksaan Budi.Budi tak tampak saat tiba di Polri. Polri belum menjelaskan detail soal kasus dugaan korupsi yang bertalian dengan Budi. Namun, saat ini Polri tengah mengusut kasus dugaan penyelewengan wewenang pegawai Komdigi dalam judi online. Ada 11 pegawai yang terlibat.Pada Rabu (6/12), Budi Arie telah menyatakan siap diperiksa terkait kasus judi online yang tengah ditangani polisi.Lihat Juga :Polisi Periksa Dirjen Komdigi Usut Kasus Judi Online Pegawai""Ya pokoknya saya fokus urus koperasi, kita dukung penegakan hukum, ketiga kita serius berantas judol,"" kata Budi di Istana Kepresidenan, dikutip dari detikcom.Menkomdigi Meutya Hafid telah menonaktifkan 11 pegawai yang terlibat judi online itu. Mereka juga telah ditahan.Penyidik polisi telah menetapkan sejumlah tersangka dan menyita uang miliaran rupiah."
Jejak Kasus Mary Jane: Hampir Dieksekusi, Kini Pulang ke Filipina	CNN Indonesia	2024/12/19 07:51:07	"Terpidana kasus penyelundupan narkoba asal Filipina Mary Jane Fiesta Veloso telah dikembalikan secara resmi ke negara asalnya oleh pemerintah Indonesia pada Rabu (18/12) dini hari.Deputi Koordinator Imigrasi dan Pemasyarakatan Kemenko Kumham Imipas I Nyoman Gede Surya Mataram menyampaikan bahwa Presiden Filipina Ferdinand Marcos Jr meminta langsung kepada Presiden Prabowo Subianto untuk memulangkan Mary Jane.""Saya sampaikan, pertama ada permintaan dari Presiden Filipina Ferdinand Marcos Jr kepada Presiden kita, Bapak Prabowo Subianto untuk mengupayakan pemulangan Mary Jane ke negara asalnya,"" kata Surya, sebelum keberangkatan Mary Jane di Bandara Soekarno-Hatta, Selasa (17/12) malam.Mary Jane telah mendekam di Lembaga Pemasyarakatan (Lapas) Yogyakarta hampir 15 tahun sejak ditangkap atas tindak pidana penyelundupan narkoba ke Indonesia. Mary Jane ditangkap di Bandara Adisutjipto, DI Yogyakarta pada 25 April 2010. Ia kedapatan menyelundupkan narkoba jenis heroin seberat 2,6 kilogram yang ditemukan petugas di dalam koper yang dibawanya dari Kuala Lumpur, Malaysia.Lihat Juga :Mary Jane Dipulangkan ke Filipina, Bebas Dari Hukuman MatiDivonis matiSetelah menjalani proses hukum, Mary Jane divonis hukuman mati karena dinilai melanggar Pasal 114 ayat (2) UU Nomor 35 Tahun 2009 tentang Narkotika. Pengadilan Negeri (PN) Sleman menjatuhkan putusan tersebut pada tahun 2010.Perempuan asal Bulacan itu pun ditahan di Lembaga Pemasyarakatan Kelas II A Wirogunan, Yogyakarta.Berbagai upaya hukum dilakukan oleh tim kuasa hukum Mary Jane. Salah satu langkah awal adalah pengajuan grasi kepada Presiden Joko Widodo. Namun, permohonan tersebut ditolak pada Desember 201.Mary Jane mengajukan Peninjauan Kembali (PK) di Pengadilan Negeri Sleman. Dalam sidang PK ini, kuasa hukum mengungkapkan sejumlah kejanggalan selama proses hukum sebelumnya dan menyatakan bahwa terdakwa menghadapi ketidakadilan dalam sidang vonis mati.Tim hukum juga menekankan bahwa Mary Jane adalah korban sindikat narkotika internasional dan tidak layak menerima hukuman mati.Meskipun argumen dan bukti telah diajukan, Mahkamah Agung melalui majelis hakim yang diketuai oleh M. Saleh dengan anggota Andi Samsan Nganro memutuskan menolak PK tersebut pada 25 Maret 2015.Lihat Juga :Presiden Filipina Bongbong Terima Kasih ke RI Pulangkan Mary JaneHampir dieksekusi matiPada 24 April 2015, Mary Jane dipindahkan ke Lapas Nusakambangan, Cilacap, Jawa Tengah.Pemindahan tersebut merupakan langkah terakhir sebelum eksekusi bersama delapan terpidana mati lainnya, termasuk dua warga negara Australia, Andrew Chan dan Myuran Sukumaran, serta sejumlah warga negara Nigeria, Brasil, dan Ghana.Sebelum eksekusi, keluarga Mary Jane diizinkan berkunjung ke Nusakambangan untuk bertemu terakhir kali.Jelang eksekusi itu, tim kuasa hukum Mary Jane masih terus berupaya mengajukan Peninjauan Kembali (PK) kedua di Pengadilan Negeri Sleman, dengan bukti baru atau novum yang menunjukkan Mary Jane adalah korban sindikat perdagangan manusia dan narkotika.Bukti tersebut mencakup dokumen yang membuktikan bahwa Mary direkrut oleh Maria Kristina Sergio, yang menjebaknya dengan menyelundupkan heroin ke Indonesia.Sehari sebelum eksekusi, Presiden Filipina saat itu, Benigno Aquino III, sempat bertemu dengan Presiden Joko Widodo untuk membahas kasus Mary Jane. Keesokan harinya, Maria Kristina Sergio tiba-tiba menyerahkan diri ke polisi di Filipina.Mary Jane sudah dibawa menuju Lapangan Tembak Limus Buntu, Nusakambangan pada 29 April 2015 dini hari. Namun, ia ditarik keluar dari rombongan sesaat sebelum eksekusi. Sementara itu, delapan terpidana lainnya tetap dieksekusi sesuai jadwal.Mary Jane kemudian dipindahkan kembali ke Lapas Perempuan Kelas IIB Yogyakarta di Wonosari, Gunungkidul.[Gambas:Infografis CNN]Setahun setelah penangguhan eksekusi Mary Jane, Presiden Filipina Rodrigo Duterte menyambangi Jakarta dan bertemu dengan Presiden Jokowi pada 9 September 2016.Duterte menyebut akan meminta pengampunan langsung kepada Jokowi dengan cara paling terhormat dan sopan demi menyelamatkan warganya.Kala itu, Mary Jane dan keluarganya menaruh harapan besar pada upaya sang presiden untuk membawa Mary kembali ke Filipina.Namun Menteri Hukum dan HAM saat itu, Yasonna Laoly, mengungkapkan bahwa tak ada perbincangan tentang kasus Mary sama sekali di pertemuan kedua kepala negara tersebut. Menurutnya, Presiden Jokowi dan Duterte hanya membahas soal keamanan di Laut Sulu dan sejumlah kesepakatan terkait jemaah haji asal Indonesia.Sedangkan pada 12 September 2016, Presiden Jokowi mengungkap bahwa Duterte mengizinkan pemerintah Indonesia untuk melaksanakan eksekusi hukuman mati terhadap Mary.Lihat Juga :Mary Jane Tak Sabar Rayakan Natal Bareng Keluarga di FilipinaPemulangan Mary JaneAkhirnya, Mary Jane berhasil dipulangkan ke negaranya atas hasil kesepakatan antara Pemerintah Indonesia dan Filipina setelah adanya permohonan resmi dari Presiden Filipina Ferdinand ""Bongbong"" Marcos Jr.Klaim kebebasan Mary Jane mulanya diungkapkan pada unggahan Presiden Marcos di akun Instagramnya pada Rabu (20/11), yang bertuliskan ""Mary Jane Veloso akan pulang.""Saat itu, Menteri Koordinator Bidang Hukum, HAM, Imigrasi, dan Pemasyarakatan (Menko Kumham Imipas) Yusril Ihza Mahendra, menyatakan bahwa pemindahan Mary Jane dijadwalkan berlangsung pada Desember 2024.""Perkiraan proses pemindahan Mary Jane akan dilakukan di bulan Desember 2024,"" ungkap Yusril dalam keterangan tertulis pada wartawan.Permintaan pemulangan Mary Jane telah diajukan secara resmi oleh pemerintah Filipina pada 13 November 2024. Dua hari sebelumnya, Duta Besar Filipina juga menyampaikan permohonan serupa kepada Yusril.Atas pemulangan ini, Mary Jane kemungkinan besar akan terhindar dari hukuman mati setelah kembali ke Filipina.Lihat Juga :Bisa Pulang ke Filipina, Mary Jane Merasa Mulai Hidup BaruYusril menyampaikan informasi bahwa Presiden Marcos dikabarkan akan menggunakan wewenangnya untuk memberikan grasi dan mengubah hukuman Mary Jane menjadi penjara seumur hidup.""Dalam kasus Mary Jane yang dijatuhi hukuman mati di Indonesia, mungkin saja Presiden Marcos akan memberikan grasi dan mengubah hukumannya menjadi hukuman seumur hidup,"" kata Yusril.Meski demikian, Pemerintah Indonesia tetap berkomitmen untuk memantau perkembangan hukum yang melibatkan Mary Jane di Filipina.""Kita tetap mempunyai akses untuk memantau apa yang terjadi dengan napi yang kita kembalikan ke negaranya melalui kedutaan kita yang ada di Manila,"" kata Yusril."
Respons Projo setelah Jokowi dan Keluarga Dipecat PDIP	CNN Indonesia	2024/12/18 20:01:45	"Organisasi relawan pendukung Presiden ketujuh RI Joko Widodo (Jokowi) atau Projo merespons keputusan DPP PDIP yang telah resmi memecat Jokowi dan keluarganya sebagai kader.Sekretaris Jenderal (Sekjen) Projo, Handoko meminta publik menunggu langkah politik yang akan dilakukan Jokowi selanjutnya.Lihat Juga :Polisi Sebut Sopir Taksi Ikut Jadi Tersangka Penembakan Brigadir Anton""Biasa saja [responsnya]. Soal langkah politik Pak Jokowi ke depan, kita tunggu saja,"" kata Handoko saat dihubungi, Rabu (18/12).Handoko tak mau berspekulasi soal peluang Jokowi akan bergabung dengan partai tertentu dalam waktu dekat. Dia juga tak menjawab saat ditanya soal langkah Projo ke depan, terutama soal peluang akan menjadi partai.""Tunggu saja ya. Biar Pak Jokowi yang memutuskan langkah-langkah selanjutnya,"" kata Handoko.Ketua Umum PDIP, Megawati Soekarnoputri akhirnya resmi memecat Jokowi dari keanggotaan partai sejak hubungan keduanya merenggang jelang Pilpres 2024.Lihat Juga :Keluarga Gamma Surati Kapolri, Minta Tegas ke Kapolrestabes SemarangKetua DPP PDIP Bidang Kehormatan Partai, Komarudin Watubun mengumumkan surat resmi pemecatan Jokowi beserta anak dan menantunya, Gibran Rakabuming dan Bobby Nasution, Senin (16/12).Pemecatan itu tertuang dalam tiga surat keputusan (SK) yang berbeda. Masing-masing SK Nomor 1649 untuk Jokowi, SK Nomor 1650 untuk Gibran, dan SK Nomor 1651 untuk Bobby. Tiga surat itu diteken Megawati dan Sekjen PDIP Hasto Kristiyanto pada 4 Desember 2024.Komar menyebut Jokowi dianggap telah menyalahgunakan kekuasaannya untuk mengintervensi MK dengan mencalonkan putranya Gibran Rakabuming maju di Pilpres 2024 menjadi wakil Prabowo Subianto.""Menyalahgunakan kekuasaan untuk mengintervensi MK yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin partai, dikategorikan sebagai pelanggaran berat,"" demikian bunyi keterangan pemecatan Jokowi dikutip dari surat resmi yang diterima CNNIndonesia.com.Lihat Juga :2 ASN Sulbar Ikut Jaringan Uang Palsu UIN Makassar Terancam Dipecat"
VIDEO: Nasdem Sebut Terbuka Bagi Jokowi Kalo Ingin Gabung	CNN Indonesia	2024/12/18 14:30:17	Ketua DPP Partai Nasdem Willy Aditya menyebut partainya terbuka bagi Jokowi.Namun ia enggan menyarankan apapun dan menyerahkan penuh kepada Jokowi apakah hendak berpartai atau tidak.Willy berguyon, Jokowi telah merasakan nyamannya pundak Ketua Umum Partai Nasdem Surya Paloh.Maka Nasdem terbuka bagi siapapun termasuk Jokowi.
VIDEO:PDIP Pecat Jokowi, Gibran, Bobby, Siti Zuhro: Tepat But Too Late	CNN Indonesia	2024/12/18 13:35:00	Pengamat politik sekaligus peneliti Badan Riset Dan Inovasi Nasional atau BRIN Siti Zuhro menilai pemecatan terhadap Joko Widodo, Gibran Rakabuming Raka, dan Bobby Nasution sebenarnya terlambat dilakukan oleh PDI Perjuangan.Walau ragu akan bergabung dengan Gerindra, menurut Siti, Jokowi, dan Gibran tetap akan berlabuh ke salah satu partai politik sebab saat ini berstatus sebagai non kader.Hal ini disampaikan Siti di Jakarta Selasa siang.Siti mengungkap keputusan PDIP memecat Jokowi, Gibran, dan Bobby sudah tepat walau terlambat karena pertimbangan internal PDIP. Menurut Siti, tak mudah bagi Jokowi dan Gibran langsung bergabung dengan partai lain seperti golkar yang memiliki banyak faksi.Siti menambahkan, kemungkinan bergabung dengan Gerindra pun masih diragukan selama Prabowo masih menjadi ketua umum.
Beda Respons Jokowi, Gibran, dan Bobby Usai Dipecat PDIP	CNN Indonesia	2024/12/18 13:17:11	"Presiden ke-7 RI Joko Widodo, Wakil Presiden Gibran Rakabuming Raka, hingga Calon Gubernur Sumatera Utara Bobby Nasution telah buka suara usai dipecat PDIP dari keanggotaan partai.PDIP memiliki pertimbangan yang sama terkait alasan memecat Gibran dan Bobby. Mereka dinyatakan melanggar etik partai karena maju di Pilkada dan Pilpres 2024 dari partai lain.Terkhusus Jokowi, PDIP memecat Eks Gubernur Jakarta itu lantaran dinilai menyalahgunakan kekuasaan untuk mengintervensi MK.Berikut respons mereka atas keputusan pemecatan yang dilakukan PDIP berdasarkan rangkuman CNNIndonesia.com:Lihat Juga :Apakah Jokowi Masih Punya Pengaruh Politik Usai Dipecat PDIP?JokowiJokowi mengaku menghormati keputusan PDIP memecat dirinya. Ia mengatakan tidak akan membela diri atau menanggapi keputusan tersebut.Namun, Jokowi tak menjawab terkait apakah dirinya akan mengembalikan KTA partai berlambang banteng bermoncong putih itu.""Saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Nanti, waktu yang akan mengujinya, saya rasa itu saja,"" kata Jokowi di Solo, Jawa Tengah, Selasa (17/12).Sementara itu, terkait soal kemungkinannya membuat partai politik baru, ia kembali menyinggung partai perorangan.""Saya sudah menyampaikan, partai perorangan,"" tutur dia.Lihat Juga :Jejak 20 Tahun Jokowi di PDIP, Berujung Dipecat MegawatiGibranGibran pun sama seperti Jokowi dalam merespons pemecatan dari PDIP. Anak sulung Jokowi itu mengaku menghormati keputusan tersebut.""Ya kami menghargai dan hormati putusan partai,"" kata Gibran di Lanud Halim Perdanakusuma, Jakarta, Selasa (17/12).Ia juga irit bicara saat ditanya apakah akan bergabung ke partai lain usai dipecat PDIP. Ia meminta seluruh awak media dan masyarakat menunggu.""Tunggu saja,"" ujar Gibran.Gibran lalu mengungkit ia dan Ketua Umum PP Pemuda Katolik Stefanus Gusma senasib lantaran sama-sama dikeluarkan dari partai PDIP.Hal ini ia sampaikan dalam acara pelantikan Pengurus Pusat Pemuda Katolik di Kantor KWI, Jakarta, Selasa (17/12). Gusma merupakan Ketum Pemuda Katolik periode 2024-2029 yang telah memutuskan keluar dari PDIP.""Selamat kepada ketua dan seluruh jajaran yang baru saja dilantik malam ini. Jadi sebenarnya Mas Gusma ini senasib dengan saya, baru saja dikeluarkan dari partai,"" kata Gibran yang disambut tawa hadirin yang hadir.Bobby NasutionRespons yang diberikan Bobby terkait pemecatan dari PDIP berbeda jika dibandingkan dengan Jokowi dan Gibran. Ia berdalih sudah lama berstatus kader Gerindra.""Saya kan Gerindra, sudah dari kemarin, bukan dari sekarang,"" kata Bobby tersenyum di Hotel Mercure, Medan, Selasa (17/12).Akan tetapi, Bobby mengklaim tetap memiliki hubungan baik dengan kader PDIP lain meski telah dipecat.""Dengan PDIP baik, tadi duduk di samping anggota DPRD Medan dari PDIP,"" jelas dia.Lihat Juga :Isi Lengkap Surat Pemecatan Jokowi, Gibran dan Bobby dari PDIP"
VIDEO: Dipecat PDIP, Jokowi: Ndak Apa, Waktu Yang Akan Mengujinya	CNN Indonesia	2024/12/18 11:01:24	Presiden Indonesia ke-7, Joko Widodo memberikan tanggapan soal pemecatan dirinya dari PDIP.Ia mengatakan, biar waktu yang akan mengujinya.Jokowi menambahkan, saat ini ia tidak dalam posisi untuk melakukan pembelaan atau memberikan penilaian atas keputusan tersebut.
Apakah Jokowi Masih Punya Pengaruh Politik Usai Dipecat PDIP?	CNN Indonesia	2024/12/18 07:14:07	"Presiden ke-7 RI Joko Widodo (Jokowi) dianggap masih memiliki pengaruh besar dalam beberapa waktu ke depan meski saat ini tidak memiliki jabatan dan sudah dipecat dari PDIP.Jokowi dinilai akan menjadi sosok yang mengandalkan pribadi sebagai mantan presiden. Meski saat ini tak berpartai, Jokowi disebut tetap kuat secara personal di mata publik sebagai politikus.""Menurut saya Jokowi ini harus dilihat sebagai figur yang mengandalkan personality. Jadi itu yang kemudian kenapa ketika ditanya oleh awak media, Jokowi menjawab per orangan,"" kata Direktur Eksekutif Arus Survei Indonesia (ASI), Ali Rif'an saat dihubungi, Selasa (17/12).""Karena dia tanpa partai sekalipun itu leading. Pengaruh dia itu memang besar,"" imbuhnya.Lihat Juga :Jejak 20 Tahun Jokowi di PDIP, Berujung Dipecat MegawatiAli karenanya meyakini Jokowi masih akan memiliki pengaruh yang kuat dalam dinamika politik Tanah Air.Ia mengingatkan Jokowi saat ini masih memiliki anak yang menjabat sebagai Wakil Presiden dan Ketua Umum partai. Termasuk menantu yang baru saja terpilih sebagai gubernur.""Nah artinya karena keluarga Jokowi di politik sepertinya pengaruh Jokowi akan tetap dirawat. Apakah beliau akan bergabung di Golkar atau ke Gerindra, atau membuat Projo menjadi partai, atau seperti sekarang ini, itu tergantung nanti,"" katanya.Ali belum bisa membaca arah politik Jokowi ke depan. Apakah akan bergabung dengan partai atau tetap di posisinya saat ini. Namun, dia menduga Jokowi tengah melihat dinamika dalam beberapa waktu ke depan terutama melihat pengaruhnya.Jika bergabung dengan partai, hanya ada dua partai politik yang memiliki kans paling besar dipilih Jokowi, yakni Golkar dan Gerindra. Pilihan bergabung dengan partai lebih masuk akal buat Jokowi ketimbang membuat partai yang memerlukan ongkos tak sedikit.""Tapi menurut saya Jokowi lebih nyaman seperti sekarang. Sambil melihat peta ke depan. Yang jelas Jokowi memang interest politiknya masih kuat karena anaknya sekarang wapres dan keluarganya semua di politik,"" katanya.Lihat Juga :Jokowi soal Dipecat PDIP: Biar Waktu yang Akan MengujiKetua Umum PDIP, Megawati Soekarnoputri resmi memecat Jokowi dari keanggotaan partai sejak hubungan keduanya merenggang jelang Pilpres 2024.Ketua DPP PDIP Bidang Kehormatan Partai, Komarudin Watubun mengumumkan surat pemecatan Jokowi beserta anak dan menantunya, Gibran Rakabuming dan Bobby Nasution, pada Senin (16/12) lalu.Pemecatan itu tertuang dalam tiga surat keputusan (SK) yang berbeda. Masing-masing SK Nomor 1649 untuk Jokowi, SK Nomor 1650 untuk Gibran, dan SK Nomor 1651 untuk Bobby. Tiga surat itu diteken Megawati dan Sekjen PDIP Hasto Kristiyanto pada 4 Desember 2024.Komar menyebut Jokowi dianggap telah menyalahgunakan kekuasaannya untuk mengintervensi MK dengan mencalonkan putranya Gibran Rakabuming maju di Pilpres 2024 menjadi wakil Prabowo Subianto.""Menyalahgunakan kekuasaan untuk mengintervensi MK yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin partai, dikategorikan sebagai pelanggaran berat,"" demikian bunyi keterangan pemecatan Jokowi dikutip dari surat resmi yang diterima CNNIndonesia.com.Lihat Juga :Gibran Ungkap Dirinya Senasib dengan Ketua PP Pemuda KatolikMerespons itu, Jokowi mengaku menghormati keputusan PDIP yang telah memecatnya. Ia mengaku tidak ingin membela diri atau mencari pembenaran terkait sikap PDIP.""Ya, enggak apa-apa, saya menghormati itu,"" katanya di Solo, Jawa Tengah, Selasa (17/12).""Saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Nanti, waktu yang akan mengujinya, saya rasa itu saja,"" imbuhnya.Sementara, terkait kemungkinannya membuat partai politik baru, ia kembali menyinggung partai perorangan.""Saya sudah menyampaikan, partai perorangan,"" katanya."
Kapolri Ingin Perlindungan Perempuan Anak di Tingkat Polda-Polres	CNN Indonesia	2024/12/17 23:30:00	"Kapolri Jenderal Pol Listyo Sigit Prabowo merencanakan pembentukan Direktorat Tindak Pidana Perlindungan Perempuan Anak (PPA) dan Pidana Perdagangan Orang (PPO) hingga ke tingkat polda dan polres.Hal tersebut disampaikan Sigit dalam sambutannya saat meluncurkan Direktorat Tindak Pidana PPA-PPO Bareskrim Polri di Gedung The Tribrata, Jakarta Selatan, Selasa (17/12).""Saya tidak ingin perjuangan Direktorat PPA dan PPO hanya sampai di tingkat Mabes. Tapi bagaimana dikembangkan sampai ke tingkat Polda dan di tingkat Polres,"" ujarnya dalam sambutannya.Sigit mengatakan upaya pembentukan direktorat baru itu tidaklah mudah. Ia bercerita awalnya KemenPAN-RB tetap membatasi agar Bareskrim Polri tetap hanya mempunyai enam Direktorat saja.Lihat Juga :Kapolri Sebut Marak Kekerasan Seksual Diselesaikan Lewat PernikahanUsulan pembentukan Direktorat PPA dan PPO, kata dia, akhirnya disetujui secara langsung oleh Presiden ketujuh RI Joko Widodo (Jokowi) ketika sedang rapat terkait Tindak Pidana Perdagangan Orang (TPPO).""Di situlah kesempatan kita bicara dan alhamdulillah akhirnya beliau menyetujui sehingga lahirlah Direktorat PPA dan PPO tersebut,"" jelasnya.Lebih lanjut, Sigit berharap langkah awal pembentukan Direktorat PPA dan PPO di tingkat Mabes Polri itu dapat terus dikembangkan hingga ke level Polres bahkan Polsek.Ia menegaskan hal itu menjadi penting sebagai salah satu upaya untuk melakukan penegak hukum serta memberikan keadilan bagi korban kekerasan khususnya perempuan dan anak.""Saya tentunya ingin apa yang tadi sudah dicanangkan Kementerian PPA di tingkat desa, kita bisa imbangi dengan lahirnya Direktorat Perempuan dan Anak minimal di tingkat Polres kalau belum sampai kecamatan atau tingkat desa,"" kata jenderal bintang empat Polri itu.Lihat Juga :Polda Jateng Buka Suara soal 3 Versi Kronologi Polisi Tembak Gamma"
Gibran Ungkap Dirinya Senasib dengan Ketua PP Pemuda Katolik	CNN Indonesia	2024/12/17 20:46:11	"Wakil Presiden Gibran Rakabuming Raka mengungkit jika dirinya dan Ketua Umum PP Pemuda Katolik Stefanus Gusma senasib lantaran sama-sama dikeluarkan dari partai PDIP.Hal ini ia sampaikan dalam acara pelantikan Pengurus Pusat Pemuda Katolik di Kantor KWI, Jakarta, Selasa (17/12). Gusma merupakan Ketum Pemuda Katolik periode 2024-2029 yang telah memutuskan keluar dari PDIP.""Selamat kepada ketua dan seluruh jajaran yang baru saja dilantik malam ini. Jadi sebenarnya Mas Gusma ini senasib dengan saya, baru saja dikeluarkan dari partai,"" kata Gibran yang disambut tawa hadirin yang hadir.Meski begitu, Gibran mengingatkan perbedaan merupakan hal yang biasa dalam mewarnai demokrasi di Indonesia. Gibran mengaku senang jika Gusma berjanji akan merangkul dan mengajak semua pemuda di Indonesia.Lihat Juga :27 Kader Dipecat PDIP, Cuma Jokowi yang Pelanggarannya Beda Sendiri""Apapun background-nya dan apapun afiliasi politiknya, dan namanya pemuda memang harus bisa merangkul semua,"" kata dia.Gibran mengatakan  dirinya senang jika para pengurus Pemuda Katolik berkomitmen untuk mengawal dan bersinergi dengan visi, misi dan program dari Presiden Prabowo Subianto.Bagi Gibran, persoalan kemiskinan dan stunting sangat diperhatikan oleh Prabowo ke depannya.""Jadi tadi Mas Gusma sudah bicara masalah stunting terutama di area 3T dan juga permasalahan lain yang memang harus segera diselesaikan dan saya kira yang namanya masalah kemiskinan, stunting, apapun itu pasti bisa diakselerasi jika anak-anak mudanya terlibat,"" kata dia.Sebelumnya Gibran dipecat oleh PDIP bersama 26 kader lain termasuk ayahnya sekaligus Presiden ke-7 RI Joko Widodo dan Bobby Nasution.Pemecatan Gibran dan Bobby termuat dalam SK PDIP Nomor 1640 dan 1651. Keduanya dianggap melakukan pelanggaran-pelanggaran berat karena menentang keputusan partai yang mengusung Ganjar-Mahfud di Pilpres 2024.Lihat Juga :PDIP Resmi Umumkan Pemecatan Jokowi, Gibran dan Bobby"
