article_title	article_author	article_publication_date	article_content
Respon Instruksi Presiden Jokowi, Kadiv Keimigrasian Sampaikan Upaya Percepatan	Rutan Salatiga	10-10-2022	"SEMARANG - Menjadi Pembina Apel Pagi hari ini, Senin (10/10), Kepala Divisi Keimigrasian Kementerian Hukum dan HAM Jawa Tengah Wishnu Daru F. menyampaikan kebijakan terkini terkait pelaksanaan layanan Keimigrasian.

Pria yang akrab disapa Wisnu itu mengungkapkan beberapa hasil Focus Group Discussion para Kepala Divisi Keimigrasian yang dilaksanakan Rabu pekan lalu. Di mana dalam kegiatan tersebut membahas terkait penataan kebijakan keimigrasian utamanya dalam rangka untuk memudahkan iklim investasi dan pariwisata di Indonesia.

“Keimigrasian bergerak cepat setelah Presiden menyampaikan amanahnya dan teguran pada Kementerian Hukum dan HAM untuk melakukan koordinasi setingkat Kementerian/Lembaga lintas sektoral,” ujarnya.

Wisnu mengungkapkan hal itu terwujud dengan dikukuhkannya Satuan Tugas Monitoring dan Supervisi Percepatan Layanan Keimigrasian yang berisikan para Kepala Divisi Keimigrasian di Seluruh Indonesia.

Lebih lanjut ia menggaris bawahi bahwa Imigrasi telah melakukan perombakan yang paling signifikan adalah bahwa saat ini Divisi Imigrasi di seluruh Indonesia tidak lagi mempunyai kewenangan untuk melakukan persetujuan terkait dengan hal yang bersifat teknis dan yang bisa melakukan adalah Unit Pelaksana Teknis dan Direktorat Jenderal. 

Di akhir amanatnya ia mengingatkan seluruh pegawai untuk melakukan sesuai dengan tugas dan fungsi serta SOP yang berlaku. Selain itu juga berpesan bahwa komunikasi dan keterbukaan adalah hal penting dalam menjalankan tugas dan fungsi dalam kedinasan demi suksesnya organisasi.

Kegiatan apel pagi hari ini diikuti oleh Kepala Divisi Pemasyarakatan Supriyanto, serta Pejabat Administrasi, Pejabat Fungsional Tertentu, pegawai, CPNS, Pramubhakti, dan Sekuriti."
Kata Bobby soal Kabar Jokowi-Gibran Akan Masuk Gerindra	Salmah Muslimah	19-12-2024	"Presiden ke-7 RI Joko Widodo, dan Wapres RI, Gibran Rakabuming Raka, diisukan masuk Partai Gerindra. Isu ini muncul usai Bobby, Jokowi, dan Gibran resmi dipecat oleh PDIP.
Terkait kabar ini, Gubernur Sumut terpilih, Bobby Nasution, enggan merespons lebih lanjut. Dari ketiganya, saat ini hanya Bobby sudah menjadi kader Gerindra sejak Mei 2024 lalu.
“Nggak perlu tanggapan saya,” kata Bobby singkat usai meninjau uji coba makan gratis di SD Negeri 064979, Medan Sunggal, pada Kamis (19/12).
Bobby pun menyebut, pemecatan di PDIP tak akan berpengaruh banyak ke depan. Termasuk bila nanti ditetapkan sebagai Gubernur Sumut.
""Saya kan Gerindra,"" kata dia.
Bobby irit bicara. Katanya, ia tak mau membahas politik di jam kerjanya sebagai Wali Kota Medan.
“Masih jam kerja,” tawa dia.
Langkah politik selanjutnya dari keduanya masih ramai menjadi pembahasan.
Sekjen Partai Gerindra Ahmad Muzani sempat ditanya soal kans Jokowi masuk Gerindra. Muzani hanya menjawab diplomatis.
""Bagi kami untuk orang sekaliber Pak Jokowi yang mantan presiden 10 tahun, yang memiliki ketokohan dan pengaruh yang begitu besar, tentu saja jika beliau bersedia bergabung, bagi kami adalah kehormatan yang amat besar dan itu adalah kekuatan, kehormatan yang amat besar,"" katanya.
Parpol lain terbuka
Selain itu, Jokowi juga diisukan bergabung ke Golkar. Ketua Umum Partai Golkar, Bahlil Lahadalia, saat ditanyai mengenai kans Jokowi masuk ke partai berlambang pohon beringin, Menteri ESDM itu menuturkan akan melihat perkembangan lebih jauh terlebih dahulu.
Namun, Bahlil menegaskan bahwa partainya terbuka untuk siapa pun yang ingin bergabung.
""Golkar itu sangat inklusif. Golkar itu terbuka bagi semua anak bangsa yang pingin mengabdikan dirinya lewat politik, lewat partai. Jadi Golkar sangat inklusif ya,"" ucap dia.
Di sisi lain, NasDem juga mengaku siap dengan tangan terbuka menyambut Jokowi.
""Ya kita serahkan pada Pak Jokowilah,"" kata Ketua DPP NasDem Willy Aditya kepada wartawan di Gedung DPR, Senayan, Jakarta, Rabu (18/12).
Menurutnya, Presiden ke-7 RI itu politikus yang mengerti situasi. NasDem terbuka menerima bila Jokowi mau bergabung.
Dipecat PDIP
Keputusan pemecatan terhadap Jokowi tertera dalam surat keputusan nomor 1649/KPTS/DPP/XII/2024. Surat ini ditandatangani Ketua Umum PDIP Megawati Soekarnoputri pada 4 Desember.
Ketua Dewan Kehormatan PDIP Komarudin Watubun mengatakan, pemecatan Jokowi dan keluarga sudah sesuai dengan anggaran dasar dan anggaran rumah tangga PDIP.
""Ketua DPP partai akan mengumumkan surat keputusan pemecatan terhadap Saudara Joko Widodo, Saudara Gibran Rakabuming Raka dan Saudara Bobby Nasution serta 27 anggota lainnya,"" kata Komar kepada wartawan di Jakarta, Senin (16/12)."
Loyalis Jokowi Mulai Beralih ke Prabowo, Ganjar Masih Tunggu Kepastian	JatimNow	27-02-2023	"jatimnow.com
Di dalam surveinya, ia menemukan bahwa tingkat popularitas dan akseptabilitas dari nama-nama tokoh menunjukkan, Prabowo Subianto lebih unggul.
Disusul Gubernur Jateng Ganjar Pranowo dan Anies Rasyid Baswedan di posisi berikutnya. Alih-alih belum memiliki kendaraan politik yang pasti, elektabilitas Ganjar Pranowo kian hari pun mulai terkikis.
Arif menerangkan, ada beberapa faktor yang menjadi alasan, salah satunya adalah seringnya Presiden Joko Widodo melakukan endorsement terhadap Prabowo. Menurut Arif, hal-hal tersebut cukup membuat partisipasi masyarakat sebagai loyalis Jokowi mulai beralih juga ke Prabowo.
""Intensitas dukungan Jokowi terhadap Prabowo, mengakibatkan migrasi pemilih Jokowi yang ada di Ganjar ke Prabowo,"" ucap Arif, dalam rilis surveinya saat diterima jatimnow.com, Minggu (26/2/2023) malam.
Disisi lain, ketegasan sikap politik yang belum dilakukan Ganjar Pranowo juga disebut-sebut mulai membuat loyalisnya jenuh. Ya, belum ada pernyataan maju Capres dari Ganjar sendiri. Belum lagi, tiket PDI Perjuangan juga masih belum dikeluarkan oleh Megawati.
Termasuk juga dengan Anies Baswedan yang masih belum pasti apakah PKS, NasDem dan Demokrat tetap solid mengusungnya di Pemilu 2024 nanti.
Dari ketidakpastian ini, menurut Arif, sangat berpotensi memicu kegamangan bagi para pendukung dan simpatisan politik. Salah satunya adalah hengkangnya relawan Ganjar Pranowo Mania (GP Mania) pimpinan Immanuel Ebenezer dan mengubahnya menjadi Prabowo Mania 08.
""Kedua, pencalonan Ganjar dan Anies tidak kunjung pasti. Ketidakpastian ini memicu hengkangnya beberapa organ relawan Jokowi yang mendukung Ganjar dan arus balik pemilih Anies kembali ke Prabowo,"" lanjut Arif.
Sementara, Ketum Jokowi Mania (Joman) dalam unggahan di media sosialnya Instagram @immanuelebenezer juga mengatakan, kekagumannya pada sosok Prabowo Subianto.
Dalam postingannya, dia yang kini beralih mendukung Prabowo dengan nama Prabowo Mania 08 itu telah memantapkan dukungan pada Ketum Gerindra sebagai Capres 2024.
""Pemimpin yang baik adalah pemimpin yang mampu memaafkan masa lalunya dan bicara tentang masa depan. Rakyat bersama Prabowo, Prabowo bersama Rakyat,"" tulis Immanuel.
Sementara ini, Prabowo Subianto masih mendapatkan partisipasi publik paling atas, diangka 32,9%. Disusul Ganjar Pranowo 21%, lalu eks Gubernur DKI Jakarta Anies Rasyid Baswedan 19,8%
Survei kali ini, dilakukan dalam rentang waktu 14-23 Februari 2023 dengan melibatkan 1.230 responden di 34 provinsi di Indonesia. Teknik pengumpulan datanya menggunakan multistage random sampling dengan margin of error (MoE) ± 2,83% dan tingkat kepercayaan 95%."
Jokowi: Memang Masih Ditemukan Kasus Intoleransi, Ini Harus Jadi Perhatian	Wisnu Prasetiyo	29-08-2023	"Presiden Jokowi berbicara soal toleransi di acara Muktamar Sufi Internasional di Pekalongan, Jawa Tengah, Selasa (29/8). Katanya, Indonesia punya modal kuat untuk mencapai itu.
""Sebagai negara berpenduduk majemuk, unity in diversity adalah semangat bangsa Indonesia dengan 270 juta penduduk yang beragam, beragam etnis, agama. Alhamdulillah kita terus kokoh bersatu,"" ungkap Jokowi dalam sambutannya.
Dalam acara ini turut hadir Menhan sekaligus bacapres Prabowo Subianto dan Gubernur Jateng sekaligus bacapres Ganjar Pranowo. Tentu juga mendampingi Habib Luthfi Bin Yahya sebagai Ketua Forum Sufi Internasional.
Ia menambahkan, salah satu kekuatan Indonesia lainnya adalah umat Islamnya moderat. 
""Alhamdulillah kita bisa menjaga stabilitas politik kita. Semua ini berkat karakter moderat bangsa Indonesia menjaga toleransi dan persatuan,"" ungkap dia.
Namun Jokowi tak menampik masih ada kasus intoleransi. Oleh karena itu, kerja keras terus dilakukan agar ia tereliminir.
""Memang masih ditemukan hal-hal beberapa kasus intoleransi. Inilah yang harus jadi perhatian kita bersama agar kita bisa meningkatkan toleransi,"" kata Jokowi.
""Agar Indonesia dan dunia terjaga perdamaiannya,"" imbuhnya.
Jokowi yakin bila perilaku tasawuf yang melekat akan semakin menimalisasi kasus intoleransi di Indonesia.
""Saya percaya amalan tasawuf punya peran penting yang selalu hadir dengan nilai-nilai humanisme yang universal. Dengan prinsip Islam wasathiyah, Islam yang moderat yang akan semakin memperkokoh toleransi persatuan dan kesatuan,"" kata Jokowi.
saya eprcaya amalan tasawuf pny peran penting yg selalu hadir dengan nilai2 humanisme yg universal. dgn prinsip islam wasatiyah, islam yg moderat yg akan semakin memperkokoh toleransi persatuan dan kesatuan"
Jokowi Cabut PPKM, Khofifah Minta Warga Jatim Tetap Waspada	JatimNow	30-12-2022	"jatimnow.com
Menyikapi hal itu, Gubernur Jawa Timur Khofifah Indar Parawansa menegaskan kepada warganya untuk tetap waspada dan hati-hati terhadap Covid-19.
""Pak Presiden tentu mendapatkan masukan dari banyak pakar. Kalau kemudian pakar-pakar juga merekomendasikan dari pandemi ke endemi kita bersyukur tetap dengan kehati-hatian, kewaspadaan kita masing-masing,"" ujar Khofifah di Gedung Negara Grahadi, Jalan Gubernur Suryo, Surabaya.
Khofifah menegaskan, pencabutan PPKM untuk seluruh wilayah di Indonesia ini ia sambut dengan baik. Ia juga menyebut, Jawa Timur sudah siap berada dalam suasana transisi dari pandemi ke endemi.
""Saya juga masih sering pakai masker, sering pakai masker, dan di forum beberapa kali sambutan. Dulu saya tetap pakai, sekarang saya sambutan sudah beberapa kali buka masker, tapi tetap bahwa kewaspaan kita lakukan bersama,"" paparnya.
""Kita semua akan berseiring dengan kebijakan pusat. Pasti Presiden dan tim sudah mendapatkan masukan yang sangat komprehensif dari sangat banyak pakar,"" sambung Khofifah.
Dia juga menekankan kepada warga Jatim yang belum melakukan vaksinasi booster segera mencari posko-posko vaksinasi.
""Kawan-kawan saya minta tolong booster itu akan menjaga imunitas kita semuanya. Jadi yang belum booster ayo segera booster,"" ucap mantan Menteri Sosial RI itu."
PDIP: Mohon Maaf, Hadirnya Jokowi di Panggung Politik Dosa Kami	Fadjar Hadi	19-12-2024	"Ketua DPP PDIP Deddy Sitorus mengakui, hadirnya Jokowi dalam panggung politik di Indonesia merupakan kesalahan besar. PDIP tidak menyangka Jokowi yang dididik jadi kader, justru merusak demokrasi di akhir masa jabatannya sebagai presiden.
Deddy menyampaikan permohonan maaf mengenai hadirnya Jokowi dalam politik Tanah Air.
""Terus terangnya, mohon maaflah Jokowi hadir dalam panggung politik dosa kita [kami
""Masa kita harus tanggung jawab juga [semuanya]? Yang bener aja dong kita tanggung jawab, dia (Jokowi bertanggung jawab) sama Tuhan,"" tambah dia.
PDIP adalah kendaraan politik Jokowi saat meniti karier sebagai wali kota Solo dua periode, gubernur Jakarta, dan presiden dua periode. Anak dan menantu Jokowi juga memakai PDIP sebagai kendaraan untuk maju wali kota Solo (Gibran RR) dan wali kota Medan (Bobby Nasution).
Anggota Komisi II DPR yang dikenal vokal ini mengatakan, sistem politik di Indonesia sebenarnya sudah sangat baik jika dijalankan sebagaimana mestinya. 
Akan tetapi, pada praktiknya, para elite politik menjadi pihak yang merusak demokrasi. Melalui politik uang hingga pihak yang ingin terus berkuasa menggunakan berbagai macam cara.
""Saya sepakat, apa sih jantung dari demokrasi? Ya, pemilu. Karena demokrasi itu berasal dari kata 
Deddy menekankan, rusaknya demokrasi, tidak fair jika menyalahkan rakyat. Ia menegaskan, yang harus bertanggung jawab adalah elite politik dan partai.
""Siapa yang rusak? Rakyatnya? Ya elitenya, calonnya, partainya. Karena apa? Karena memang itu tadi pelembagaan partai politik itu enggak jalan, rekrutmen itu enggak jalan dengan baik. Itu problem, luar biasa, jadi jangan salahkan rakyat,"" ucap Deddy.
""Kenapa rakyat akhirnya mau terima (duit)? 'Ya gue 5 tahun enggak tahu lu (calon anggota dewan dan kepala daerah) ngapain, lu dateng lagi minta suara gue, bayar dong. Lu kan dapet gaji, dapet 
PDIP memecat Jokowi sebagai kader mereka per tanggal 4 Desember 2024. Pemecatan Jokowi tertuang dalam nomor 1649/KPTS/DPP/XII/2024.
Surat tersebut ditandatangani langsung oleh Ketua Umum PDIP Megawati Soekarnoputri dan Sekjen PDIP Hasto Kristiyanto.
PDIP membeberkan alasan memecat Jokowi. Jokowi dinilai telah menyalahgunakan kekuasaan untuk mengintervensi Mahkamah Konstitusi.
Berikut bunyi putusan dari Mahkamah Dewan Kehormatan PDIP:
Menyalahgunakan kekuasaan untuk mengintervensi Mahkamah Konstitusi yang menjadi awal rusaknya sistem demokrasi, sistem hukum, dan sistem moral-etika kehidupan berbangsa dan bernegara merupakan pelanggaran etik dan disiplin Partai, dikategorikan sebagai pelanggaran berat."
PDIP Balas Jokowi soal 'Waktu yang Mengujinya': Waktu Sudah Membuktikan Kok	Fachrul Irwinsyah	19-12-2024	"Ketua DPP PDIP, Deddy Yevri Sitorus, membalas pernyataan Jokowi terkait pemecatannya dari PDIP. Jokowi sempat mengatakan biar waktu yang menguji soal pemecatannya itu.
Menurut Deddy apa yang terjadi selama ini sudah cukup membuktikan karakter dan tindakan Jokowi, terutama dalam konteks politik dan kepemimpinan.
“Kami menangkapnya begini kalau ‘biar waktu yang membuktikan’, waktu sudah membuktikan,” ujar Deddy dalam konferensi pers di Gedung DPP PDIP, Menteng, Jakarta Pusat, Kamis (19/12).
Deddy juga mengungkit bagaimana Jokowi yang saat saat Pilpres masaih menjaba sebagai presiden, kerap turun langsung ke berbagai daerah, khususnya Jawa Tengah. Ia menganggap itu sebagai bentuk politik tidak sehat.
“Kita tahu beliau 17 kali turun ke Jawa Tengah selama proses pilpres. Satu hal yang sebenarnya bisa, dikatakan oleh para intelektual akademisi pemilu sebagai bentuk politik gentong babi,” tegas Deddy.
Menurutnya, tindakan seperti itu mencerminkan pendekatan yang kurang menjunjung nilai-nilai etis dalam proses demokrasi.
“Beliau bukan yang royal terhadap prinsip nilai, etika, dan moral bahkan terhadap konstitusi,” ujarnya.
Usai resmi dipecat dari PDIP, Jokowi memberikan komentar. Presiden ke-7 RI itu menerima keputusan tersebut.
“Ya ndak apa (dipecat PDIP). Saya menghormati itu,” ujar Jokowi usai bertemu dengan Relawan Bara JP di kediamannya di Solo, Jawa Tengah, Selasa (17/12).
Terkait pemecatan tersebut, Jokowi tidak mau membela diri sebab keputusannya sudah dibuat.
“Dan saya tidak dalam posisi untuk membela atau memberikan penilaian karena keputusan itu sudah terjadi. Biar nanti waktu yang mengujinya,” kata mantan Gubernur Jakarta itu."
Jokowi Kenang Pandemi COVID-19: Ngeri, Belum Jelas Kapan Rampung, Ekonomi Turun	Fadjar Hadi	29-08-2023	"Presiden Jokowi kembali menceritakan awal pandemi COVID-19 yang turut melanda Indonesia pada April 2020. Jokowi  bersyukur kepada Allah SWT karena Indonesia bisa melewati pandemi dan ekonomi negara terus tumbuh positif.
""Ini perlu terus saya ingatkan karena kita ingat saat pandemi, kita keluar rumah saja sulit. Mau pergi antarkota saja sulit. Saya sendiri saat itu membayangkan kapan pandemi selesai saja dari kalkulasi tidak bisa dihitung. Hanya kepasrahan kita kepada Allah SWT yang membesarkan hati kita semuanya,"" kata Jokowi saat membuka Muktamar Sufi Internasional di Pekalongan, Selasa (29/8).
Muktamar ini diadakan oleh Majelis Sufi Dunia yang diketuai Habib Luthfi bin Yahya, ulama karismatik dari Pekalongan. Bertindak sebagai ketua panitia muktamar adalah Menhan Prabowo Subianto.
Lebih lanjut Jokowi mengatakan, kengerian saat itu selain karena pandemi yang tidak bisa diprediksi kapan berakhir juga karena perekonomian Indonesia yang terus turun.
""Ngeri. Pandeminya belum jelas kapan rampungnya, ekonomi selalu kelihatan turun terus menerus, itulah saya kira yang juga menjadi cobaan semua negara tidak hanya Indonesia,"" ungkapnya.
Sehingga dalam kesempatan itu, Jokowi berterima kasih kepada ulama hingga tokoh agama yang terus mendoakan keselamatan dan kesejahteraan Indonesia.
""Dan terima kasih karena telah mengajarkan, senantiasa mengajarkan kerukunan, kedamaian, keharmonisan, toleransi, dan persatuan di tengah-tengah perbedaan-perbedaan yang kita miliki,"" ujarnya.
Jokowi kemudian mengatakan, pelaksanaan Muktamar Sufi Internasional menjadi penting bagi Indonesia karena akan membuat Indonesia semakin dikenal sebagai contoh Islam moderat dan akan meningkatkan kepercayaan dunia terhadap Indonesia.
""Pelaksanaan muktamar ini mempunyai arti yang sangat penting. Membuktikan bahwa Islam Indonesia tidak lagi berada di pinggiran, tetapi punya peran yang sangat strategis, berkontribusi membangun peradaban dunia yang damai dan harmonis,"" tuturnya.
Jokowi mengajak agar seluruh elemen untuk merawat kerukunan, toleransi, dan menolak ujaran kebencian, fitnah, dan hoaks.
""Saya harapkan muktamar ini jadi inspirasi dan teladan bagi dunia Islam, menuntun umat Islam ke arah perbaikan dan kebaikan, memberikan solusi di tengah krisis kemanusiaan yang saat ini sedang melanda dunia,"" pungkasnya.
Muktamar sufi dihadiri oleh 73 ulama sufi dari 38 negara.
Majelis Sufi Dunia di situs resminya menjelaskan mereka adalah organisasi yang diakui secara global yang didedikasikan untuk mempromosikan ajaran dan praktik tasawuf, dimensi mistis Islam. Dengan komitmen untuk mendorong pertumbuhan spiritual, dialog antaragama, dan pertukaran budaya.
Anggota Majelis Sufi Dunia antara lain Syekh Adnan Al Afyouni dari Suriah; KH Ali Mas’adi dari  Indonesia; Syekh Muhammad Bokhazam Shahoumi Al Idrisi dari Libya, dan Syekh Riyadh Bazo dari Libanon."
Jokowi: Indonesia dengan 270 Juta Penduduk Bisa Jaga Stabilitas Politik	Ochi Amanaturrosyidah	29-08-2023	"Presiden 
""Sikap moderat dan saling berinteraksi akan memungkinkan kita untuk bersatu dalam keberagaman. 
Jokowi mengatakan, Indonesia dengan penduduk yang majemuk bisa bersatu dan menjaga stabilitas 
""Sebagai negara berpenduduk majemuk, 
Jokowi mengakui di Indonesia terkadang masih ditemukan sejumlah kasus intoleransi. Sehingga hal itu harus jadi perhatian agar bisa meningkatkan toleransi supaya Indonesia dan dunia terjaga perdamaiannya.
""Saya percaya amalan tasawuf punya peran penting yang selalu hadir dengan nilai-nilai humanisme yang universal. Dengan prinsip Islam wasatiyah, Islam yang moderat yang akan semakin memperkokoh toleransi, persatuan, dan kesatuan,"" tuturnya.
Untuk itu, Jokowi meminta seluruh elemen untuk merawat kerukunan dan toleransi, hingga menolak ujaran kebencian, fitnah, dan hoaks.
""Saya harapkan muktamar ini jadi inspirasi dan teladan bagi dunia Islam, menuntun umat Islam ke arah perbaikan dan kebaikan, memberikan solusi di tengah krisis kemanusiaan yang saat ini sedang melanda dunia,"" pungkasnya."
Waketum Golkar soal Isu Jokowi Gabung: Kita Terbuka, tapi Gak Bisa Paksa Masuk	Wisnu Prasetiyo	19-12-2024	"Wakil Ketua Umum Partai Golkar Ahmad Doli Kurnia menanggapi isu Presiden ke-7 RI Jokowi bergabung dengan partainya. Jokowi dan Gibran Rakabuming dan Bobby Nasution baru saja dipecat secara resmi oleh PDIP. 
""Ya, saya kan sudah beberapa kali menyatakan prinsipnya kalau sebuah partai politik termasuk partai Golkar, kami ini kan tentu sangat senang sangat terbuka bagi siapa saja warga negara yang ingin bergabung dengan partai kami,"" kata Doli kepada wartawan, Kamis (19/12). 
Menurutnya, Jokowi adalah tokoh bangsa. Jadi, bila benar mau bergabung, kehormatan buat Golkar.
""Kami senang-senang saja. Apalagi Pak Jokowi dia adalah tokoh bangsa, kemudian Pak Gibran yang sekarang wakil presiden. Nah tapi itu kembali kepada individu yang bersangkutan,"" kata dia.
""Kita kan enggak bisa maksa ya agar seseorang itu bergabung dengan partai kami. Itu kan hak konstitusi masing-masing individu warga negara ya,"" imbuhnya.
Kata Doli, Golkar merupakan partai besar dan sudah teruji. Doktrin dan falsafahnya juga seiring seirama dengan tokoh-tokoh besar.
""Ya jadi kami dalam posisi yang sangat terbuka, partai ini partai yang sangat besar partai yang sudah teruji, bagi siapa saja warga negara yang merasa ideologi nya sama aspirasinya sama,"" kata dia.
""Doktrinnya bahwa doktrin Golkar itu sama dengan pandangan mereka kemudian idealisme nya sama ya kamu dengan sangat terbuka menerima saja."""
