article_title	article_author	article_publication_date	article_content
Diresmikan Jokowi, PTPP Rampungkan Proyek Jalan Tol Trans Sumatera	Hana Nushratu - detikFinance	Minggu, 20 Okt 2024 23:55 WIB	"PT PP (Persero) Tbk sebagai salah satu BUMN Konstruksi dan Investasi di Indonesia melakukan peresmian pada Proyek Jalan Tol Indrapura-Kisaran Seksi 2 dan Proyek Bayung Lencir-Tempino.
Adapun proyek ini berlokasi di Gerbang Tol Kisaran, Kabupaten Asahan, Sumatera Utara.
Presiden RI 2019-2024 Joko Widodo meresmikan secara langsung dengan penandatanganan prasasti sebagai bentuk simbolis.
Turut hadir dalam acara peresmian tersebut yaitu Menteri Perhubungan RI Budi Karya Sumadi, Anggota Komisi V DPR RI Bakri, Pj Gubernur Sumatera Utara Agus Fatoni, Pjs Bupati Asahan Basarin Yunus Tanjung, Dirjen Bina Marga Kementerian PUPR RI Rachman Arief Dienaputra, Direktur Utama Hutama Karya Budi Harto, dan Direktur Keuangan PTPP Agus Purbianto.
Dalam peresmian ini, Jokowi meresmikan 2 Proyek Tol Trans Sumatera yang digarap oleh PTPP yaitu Proyek Jalan Tol Indrapura-Kisaran Seksi II ruas Limapuluh-Kisaran. Kedua, Proyek
Jalan Tol Bayung Lencir-Tempino yang di dalamnya terdapat Pembangunan Jalan Tol Bayung Lencir-Tempino Seksi 2, paket yang dikerjakan oleh PTPP.
Proyek Jalan Tol Indrapura-Kisaran ini termasuk dalam Proyek Strategis Nasional (PSN) yang memiliki nilai kontrak Rp 4,5 triliun, memiliki panjang ruas 47,75 km, dengan masa pelaksanaan dari Desember 2018-Januari 2024.
Selanjutnya, Pembangunan Jalan Tol Bayung Lencir-Tempino Seksi 2 yang termasuk dalam paket pembangunan Jalan Tol Bayung Lencir-Tempino memiliki nilai kontrak sebesar Rp 1,18 triliun, dengan panjang ruas 11,004 km, dan memiliki masa pelaksanaan selama 415 hari dari Juni 2023-Agustus 2024.
Dalam sambutannya, Jokowi menjelaskan jalan tol tersebut merupakan bagian dari upaya pemerintah mempercepat pembangunan infrastruktur Trans Sumatera.
""Dengan adanya jalan tol, utamanya Trans Sumatera ini kita harapkan ada kecepatan dalam mobilitas orang, kecepatan dalam mobilitas barang, kecepatan dalam pengiriman distribusi logistik sehingga setiap daerah akan bisa bersaing dengan daerah di negara-negara lain karena persaingannya sekarang antar negara itu sangat ketat sekali,"" ungkap Jokowi, dalam keterangan tertulis, Minggu (20/10/2024).
Direktur Utama PTPP Novel Arsyad mengatakan dengan peresmian Proyek Jalan Tol Ruas Indrapura-Kisaran seksi 2 dan Proyek Bayung Lencir-Tempino maka secara resmi PTPP telah menyelesaikan PSN pembangunan Jalan Tol Trans Sumatera.
""Peresmian proyek Jalan Tol Ruas Indrapura-Kisaran Seksi 2 merupakan lanjutan dari Proyek Jalan Tol ruas Indrapura-Limapuluh yang sebelumnya telah diresmikan oleh Jokowi di awal tahun 2024. Dengan adanya peresmian pada hari ini, maka PTPP telah menyelesaikan amanahnya dalam pembangunan Proyek Strategis Nasional (PSN) dalam pembangunan infrastruktur Trans Sumatera yaitu pada Proyek Indrapura-Kisaran dan Proyek Bayung Lencir Tempino dengan kualitas baik, sesuai target, dan mengutamakan aspek keselamatan,"" tegas Novel.
Saat ini, PTPP terus berkomitmen dalam menyelesaikan PSN yang masih ongoing sesuai dengan target pelaksanaan.
""Untuk proyek infrastruktur PSN lainnya yang masih dikerjakan oleh PTPP yaitu seperti Proyek Jalan Tol Probolinggo-Banyuwangi Seksi 3, Jalan Tol Japek Selatan Paket 2 Seksi 2A, Jalan Tol Semarang Demak Seksi 1B, dan Proyek Serang-Panimbang Seksi 3, pastinya akan terus dimonitor untuk dapat selesai dengan kualitas terbaik dan tepat waktu, sehingga manfaatnya dapat dinikmati oleh seluruh masyarakat Indonesia dan meningkatkan daya saing nasional,"" pungkasnya."
Agenda Jokowi Usai Pulang ke Solo: Tidur	Tara Wahyu NV - detikJateng	Minggu, 20 Okt 2024 22:33 WIB	"Presiden ke-7 RI, Joko Widodo (Jokowi) mengaku ingin tidur usai tiba di kediaman pribadinya di Sumber, Banjarsari, Solo. Hal itu diungkapkan Jokowi saat ditanya mengenai kegiatan dirinya setelah tiba di Solo.
""Saya kan sudah sampaikan mau tidur,"" katanya sembari tersenyum, Minggu (20/10/2024).
Menurutnya, selama 10 tahun menjabat sebagai kepala negara ia ingin tidur selama sehari atau dua hari ke depan. Apalagi, dirinya sudah bekerja dengan keras selama 10 tahun.
""Masak sepuluh tahun kita kerja keras untuk negara dan ini purna tugas, barang sehari dua hari tidur,"" ucapnya.
Disinggung apakah ada rencana bertemu dengan teman lama di Kota Solo, Jokowi mengaku ingin bertemu dengan saudara-saudara terlebih dahulu.
""(Rencana bertemu teman lama di Solo) Ya ketemu saudara-saudara dulu, ketemu temen-temen, banyak-banyak agenda,"" pungkasnya.
Diberitakan sebelumnya, Presiden ke-7 Republik Indonesia (RI) Joko Widodo (Jokowi) bersama Iriana tiba di kediaman pribadi di jalan Kutai Utara I, Sumber, Banjarsari, Solo. Jokowi dan Iriana langsung berjalan kaki setibanya di gang rumah menuju kediaman.
Dari pantauan detikJateng, sepanjang gang Kutai Utara I sudah berbaris pasukan bergada dari Mangkunegaran. Selain itu, sepanjang gang juga telah dipenuhi relawan dan di dekat rumah Jokowi sudah berkumpul para tetangga.
Jokowi dan Iriana tiba di kediaman sekira pukul 19.23 WIb. Jokowi dan Iriana juga tampak melambaikan tangan ke warga."
Kepulangan Jokowi ke Solo Disambut Warga hingga Driver Gojek	Hana Nushratu - detikNews	Minggu, 20 Okt 2024 23:12 WIB	"Presiden Republik Indonesia periode 2014-2024 Joko Widodo (Jokowi) disambut meriah warga Solo, Jawa Tengah. I kemabali ke kampung halamannya setelah purna tugas sebagai kepala negara selama dua periode beruntun, yakni 2014-2019 dan 2019-2024.
Kepulangan Jokowi ini terjadi seusai menghadiri Sidang Paripurna MPR di Gedung Nusantara MPR, Senayan, Jakarta dalam rangka Pelantikan Presiden dan Wakil Presiden terpilih 2024-2029 yakni Prabowo Subianto dan Gibran Rakabuming Raka.
Setelah pelantikan itu, Mantan Gubernur DKI Jakarta itu langsung kembali ke Solo di Minggu siang dengan memakai pesawat menuju Bandara Adi Soemarmo. Dari Bandara Adi Soemarmo ke kediamannya, Jokowi disambut warga Solo di pinggir jalan.
Dikutip dari detikJateng, Presiden ke-7 itu tiba di Bandara di Kabupaten Boyolali itu bersama istri, Iriana Jokowi pada pukul 16.05 WIB. Jokowi berangkat dari Bandara Halim Perdanakusuma, Jakarta, dengan pesawat TNI Angkatan Udara.
Di sekitar Bandara Adi Soemarmo, warga sudah menunggu kedatangan Jokowi sejak siang, mulai dari relawan, siswa, dan warga pada umumnya. Tak hanya para siswa dan warga Solo yang melambaikan bendera Merah Putih, iring-iringan Jokowi pun disambut para driver ojek online (ojol) terutama dari Gojek. Terlihat ratusan driver ojol berseragam hijau itu melambai-lambaikan tangan kepada Jokowi.
""Selamat datang kembali Pak Jokowi di kota Surakarta kita tercinta, dan terima kasih sudah bekerja keras untuk Indonesia dan terima kasih atas kepercayaan kepada layanan Gojek,"" kata driver Gojek asal Solo Ari Fiana, dalam keterangan tertulis, Minggu (20/10/2024).
""Saya pernah dengar Bapak pernah pesan GoFood di Istana Bogor, kini kita siap loh pak untuk mengantar pesanan GoFood ke rumah Bapak di Solo "" tambah driver Gojek asal Solo Nahari Tyas Sasongko.
Dari pantauan, selain ramai warga, terdapat pula sejumlah poster, spanduk, baliho dan videotron hingga doa dan harapan dari warga Solo saat menyambut kepulangan ayah dari Wakil Presiden terpilih Gibran Rakabuming ini.
Sejumlah spanduk itu bertuliskan, ""Sugeng Rawuh [Selamat Datang] Pak Jokowi dan Ibu Iriana"" dan terlihat di sepanjang Jalan Adi Sucipto, Colomadu Karang Anyar sampai dengan kawasan Laweyan Solo, termasuk ke jalan masuk ke arah kediaman Jokowi.
Sebagai informasi, terakhir Jokowi menjadi Wali Kota Solo periode Juli 2005-Oktober 2012 sebelum pindah ke Jakarta menjadi Gubernur DKI periode Oktober 2012-Oktober 2014. Pada periode pertama menjadi Presiden, Jokowi didampingi Jusut Kalla, dan periode kedua bersama Ma'ruf Amin.
Perpisahan
Pada Jumat 18 Oktober lalu, dua hari sebelum pelantikan Prabowo, Jokowi menggelar jamuan santap siang bersama jelang purnatugas di Istana Negara.
Acara ini dihadiri oleh Wakil Presiden 2019-2024 Ma'ruf Amin, Presiden Terpilih Prabowo Subianto, sejumlah pimpinan lembaga tinggi negara, para Menteri Kabinet Indonesia Maju, para wakil menteri, para anggota Dewan Pertimbangan Presiden (Wantimpres) dan sejumlah kepala badan.
Dalam sambutannya, Jokowi mengingat perjalanan 10 tahun pemerintahannya. Di mana banyak momen penting dan dinamika yang telah dilalui bersama.
""Kita telah lalui bersama-sama, banyak tantangan-tantangan yang kita diskusikan, kita debatkan, kita ramaikan di dalam rapat-rapat kabinet, rapat terbatas, dan rapat internal,"" ujar Jokowi.
Jokowi juga mengucapkan terima kasih yang sebesar-besarnya atas dukungan dan kerja keras seluruh kabinetnya selama satu dekade terakhir. Ia berharap apa yang telah dikerjakan bersama dapat bermanfaat bagi bangsa dan negara.
""Saya ingin menyampaikan ucapan terima kasih yang sebesar-besarnya atas dukungan, atas support, atas kerja keras untuk negara ini. Dan saya berharap apa yang sudah kita lakukan dalam 10 tahun ini bermanfaat bagi rakyat, bermanfaat bagi negara, bermanfaat bagi bangsa kita yang kita cintai,"" ungkap Jokowi.
Jokowi menyampaikan selamat bekerja kepada Presiden Terpilih Prabowo dan kabinet barunya, serta mengucapkan permintaan maaf kepada seluruh jajarannya jika selama masa interaksi dan kerja sama ada hal-hal yang kurang berkenan.
""Hari Minggu siang saya akan pulang ke Solo. Kalau ada yang pas ke Jogja 30 menit nanti lewat tol bisa silakan kalau ada yang ingin ke Solo,"" ucap Jokowi.
""Kalau pakai jalan tol ada yang ke Surabaya lewatnya pasti harus lewat Solo, silakan juga kalau ingin mampir ke rumah. Sekali lagi mohon maaf,"" pungkasnya."
Disambut Antusias Masyarakat Saat Pulang ke Solo, Jokowi: Mengejutkan	Tara Wahyu NV - detikJateng	Minggu, 20 Okt 2024 22:28 WIB	"Presiden ke-7 Republik Indonesia (RI) Joko Widodo (Jokowi) mengaku terkejut dengan antusias masyarakat yang menyambut kepulangannya di Kota Solo. Apalagi, Jokowi mengaku biasanya perjalanan dari Bandara Adi Soemarmo ke kediamannya di Sumber, Solo ditempuh selama 3,5 jam.
""Saya kira mengejutkan karena biasanya saya dari bandara ke rumah hanya 15 menit, tapi tadi 3,5 jam lebih, 4 jam malahan. Hampir 4 jam,"" katanya kepada awak media di kediamannya Sumber, Minggu (20/10/202).
Dalam kesempatan itu, Jokowi mengucapkan terima kasih kepada masyarakat yang telah menyambutnya dan memberikan dukungan kepada dirinya.
""Dan saya ingin sampaikan ucapan terima kasih, sambutan dan dukungan masyarakat yang telah diberikan kepada saya,"" ucapnya.
Meski berdiri selama berjam-jam, Jokowi mengaku tidak sakit atau lelah.
""Enggak biasa, biasa (berdiri lama sakit),"" pungkasnya.
Diberitakan sebelumnya, Presiden ke-7 Republik Indonesia (RI) Joko Widodo (Jokowi) bersama Iriana tiba di kediaman pribadi di jalan Kutai Utara I, Sumber, Banjarsari, Solo. Jokowi dan Iriana langsung berjalan kaki setibanya di gang rumah menuju kediaman.
Dari pantauan detikJateng, sepanjang gang Kutai Utara I sudah berbaris pasukan bergada dari Mangkunegaran. Selain itu, sepanjang gang juga telah dipenuhi relawan dan di dekat rumah Jokowi sudah berkumpul para tetangga.
Jokowi dan Iriana tiba di kediaman sekira pukul 19.23 WIB. Jokowi dan Iriana juga tampak melambaikan tangan ke warga."
Sejumlah Calon Kepala Daerah Bertemu Jokowi di Kediaman Sumber, Solo	Tara Wahyu NV - detikJateng	Minggu, 20 Okt 2024 22:09 WIB	"Sejumlah calon kepala daerah bertemu Presiden ke-7 RI Joko Widodo (Jokowi) setibanya di rumah pribadinya di Jalan Kutai Utara I, Sumber, Banjarsari Solo. Para calon kepala daerah sempat menggelar pertemuan tertutup dengan Jokowi.
Dari pantauan detikJateng, calon kepala daerah yang bertemu Jokowi yakni cagub dan cawagub Jawa Tengah Ahmad Luthfi dan Taj Yasin. Lalu ada Cawalkot dan Cawawalkot Solo, Respati Ardi dan Asrid Widayani.
Lalu dilanjutkan dengan calon bupati Karanganyar, Ilyas Akbar Almadani. Lalu disusul calon wakil gubernur Jawa Timur, Emil Dardak beserta sang istri Arumi Bachsin.
Ditemui usai pertemuan, Ahmad Luthfi, mengaku mendapat pesan dari Jokowi saat bertemu. Luthfi mengungkapan Jokowi berpesan mengenai beberapa masalah di Jawa Tengah.
""Beliau pesan yang pertama Pak Luthfi, kalau di wilayah Jawa Tengah masalah nelayan, masalah petani, masalah pesantren, masalah anak muda. Artinya beliau sangat konsen sekali sehingga nitip pesan itu untuk diperbaiki agar lebih bagus terkait tata kota pupuknya, terikat ikannya, terkait dengan situasi Jateng acara umum,"" kata Luthfi usai bertemu dengan Jokowi, Minggu (20/10/2024).
Sementara itu, Cawalkot Kota Solo, Respati Ardi, mengatakan bahwa mendapat wejangan mengenai beberapa program yang telah dijalankan untuk tetap bisa dilanjutkan.
""Percepatan program nantinya Kota Solo, seluruh bagian dari program pernah dijalankan investasi UMKM bantuan sosial teruskan oleh Respati dan Astrid,"" ungkapnya.
Respati mengaku berkah mendapat dukungan penuh dari keluarga Sumber yakni Jokowi dan Gibran Rakabuming Raka.
""Ya sebuah berkah ya, menjadi daya kekuatan kami berdua. Optimis menang 100 persen. Ikut kegiatan di Solo tergantung beliaunya,"" ucapnya.
Ia mengatakan, bahwa Jokowi mengaku sudah rindu dengan Kota Solo.
""Beliau tadi menyampaikan kalau sudah rindu Solo, tadi keinginan sendiri bertemu kalau dipanggil langsung,"" ucapnya.
Terpisah, Cabup Karanganyar, Ilyas Akbar Almadani, mengatakan pertemuan dengan Jokowi yakni dirinya diminta berjuang untuk masyarakat Kabupaten Karanganyar.
""Ya Alhamdulillah yang pertama kita diminta berjuang untuk masyarakat Kabupaten Karanganyar dan ke depan program pusat bisa disinergikan dengan Kabupaten Karanganyar,"" pungkasnya."
Video: Pesan Jokowi ke Prabowo: Saya Serahkan Seutuhnya Impian Rakyat	Ivani Fauziah - 20DETIK	50,236 Views | Minggu, 20 Okt 2024 20:57 WIB	Presiden ke-7 RI, Joko Widodo (Jokowi) kembali ke kota kelahirannya Solo, Jawa Tengah seusai pelantikan Presiden dan Wakil Presiden Prabowo Subianto-Gibran Rakabuming Raka. Jokowi menyerahkan seutuhnya impian rakyat ke Presiden Prabowo.
Sambut Jokowi di Solo, Ahmad Luthfi: Sungkem Seperti Bapak Sendiri	Dea Duta Aulia - detikNews	Minggu, 20 Okt 2024 20:01 WIB	"Calon Gubernur Jawa Tengah (Jateng) Ahmad Luthfi dan Calon Wakil Gubernur Jateng Taj Yasin menyambut langsung Presiden ke-7 Joko Widodo (Jokowi) di rumah Jokowi, Sumber, Solo, malam ini. Kedatangan Jokowi kampung halaman disambut antusias yang tinggi dari warga Solo.
Pantauan detikcom di lokasi, kedatangan Jokowi sekitar pukul 19.40 WIB. Kedatangannya pun langsung disambut oleh Ahmad Luthfi dan Taj Yasin.
Tak sedikit warga yang berebut berfoto dengan Jokowi saat tiba di kediamannya. Terlihat juga Iriana Jokowi turut hadir.
Ahmad Luthfi mengatakan dirinya menyempatkan sungkem kepada Jokowi saat tiba. Menurutnya, Jokowi sosok seperti bapaknya sendiri.
""Saya sungkem seperti bapak kita sendiri,"" kata Ahmad Luthfi usai menyambut Jokowi di kediamannya, Sumber, Solo, Minggu (20/10/2024).
Ahmad Luthfi yakin meskipun Jokowi telah purna tugas, sosok tersebut tetap bisa mengispirasi.
""Sungkem ini kita akan kehilangan beliau tapi beliau selalu membimbing,"" tutupnya.
Simak Video: Jokowi Pastikan Tak Ada Acara Penyambutan saat Ia Pulang ke Solo
[Gambas:Video 20detik]"
Jokowi Mau Tidur Usai Pulang ke Solo: 10 Tahun Kerja Keras untuk Negara	Tara Wahyu NV - detikNews	Minggu, 20 Okt 2024 23:09 WIB	"Presiden ke-7 RI, Joko Widodo (Jokowi), telah tiba di kediaman pribadinya di Sumber, Banjarsari, Solo, Jawa Tengah. Lalu apa agenda Jokowi usai purnatugas?
""Saya kan sudah sampaikan mau tidur,"" katanya sembari tersenyum, seperti dilansir detikJateng, Minggu (20/10/2024).
Jokowi mengatakan telah 10 tahun menjabat sebagai kepala negara. Jokowi mengaku ingin beristirahat beberapa hari ke depan.
""Masak sepuluh tahun kita kerja keras untuk negara dan ini purna tugas, barang sehari dua hari tidur,"" ucapnya.
Disinggung apakah ada rencana bertemu dengan teman lama di Kota Solo, Jokowi mengaku ingin bertemu dengan saudara-saudara terlebih dahulu.
""(Rencana bertemu teman lama di Solo) Ya ketemu saudara-saudara dulu, ketemu temen-temen, banyak-banyak agenda,"" pungkasnya.
Simak selengkapnya di sini"
Ahmad Luthfi: Matur Suwun Atas Kepemimpinan & Inspirasi 10 Tahun Pak Jokowi	Dea Duta Aulia - detikNews	Minggu, 20 Okt 2024 20:33 WIB	"Calon Gubernur Jawa Tengah (Jateng) Ahmad Luthfi mengatakan kepemimpinan Presiden ke-7 Joko Widodo (Jokowi) selama 10 tahun banyak memberikan inspirasi. Sebab sepanjang itu Jokowi memberikan banyak pengabdian kepada masyarakat Indonesia.
""Sugeng rawuh datang ke Solo Pak Jokowi. Matur suwun atas kepemimpinan dan inspirasi selama 10 tahun dalam memimpin negara kesatuan Republik Indonesia,"" kata Ahmad Luthfi usai menyambut Jokowi di kediamnya, Sumber, Solo, Jawa Tengah, Minggu (20/10/2024).
Ahmad Luthfi bersama Calon Wakil Gubernur Jateng Taj Yasin sengaja datang ke Solo untuk menyambut kedatangan Jokowi di Solo. Pasangan tersebut terpantau tiba di rumah Jokowi, Sumber, Solo, sekitar pukul 16.40 WIB.
Sementara, Jokowi tiba di kediamannya sekitar pukul 19.40 WIB. Kedatangan Jokowi disambut antusias yang tinggi dari warga sekitar.
Warga yang menanti nampak begitu antusias. Mereka membentangkan banner yang dengan nada tulisan ucapan terima kasih kepada Jokowi. Mulai dari anak muda, dewasa, hingga tua nampak histeris ketika Jokowi tiba.
Dari atas mobil, Jokowi nampak melambai-lambaikan tangan kepada warga yang menanti dirinya.
Sementara itu, Ahmad Luthfi berharap Jokowi tetap memberikan inspirasi kepada seluruh rakyat Indonesia meskipun sudah purnatugas.
""Selamat purna tugas tetap menginspirasi anak-anak bangsa ya pak,"" tutupnya."
Panglima-Kapolri Dapat Perintah Langsung dari Prabowo Kawal Kepulangan Jokowi	Agil Trisetiawan Putra - detikJateng	Minggu, 20 Okt 2024 20:57 WIB	"Panglima TNI Jenderal Agus Subianto dan Kapolri Jenderal Listyo Sigit Prabowo, mendapat perintah langsung dari Presiden Prabowo Subianto untuk mengawal kepulangan Presiden ke-7 Joko Widodo (Jokowi) ke Solo
Dari pantauan detikJateng, mereka terus mengawal Jokowi-Iriana, saat perjalanan pulang dari Bandara Adi Soemarmo hingga ke kediaman Jokowi di Sumber, Kecamatan Banjarsari, Kota Solo. Panglima TNI dan Kapolri juga menggunakan kendaraan taktis terbuka yang berada tepat di belakang kendaraan yang dinaiki Jokowi.
""Hari ini alhamdulilah saya dan Kapolri sudah di Kediaman Pak Jokowi presiden ke-7. Ini atas perintah Presiden RI Prabowo Subianto, untuk saya dan Kapolri untuk mengantar Pak Jokowi,"" kata Agus kepada awak media di kediaman Jokowi di Kelurahan Sumber, Kecamatan Banjarsari, Kota Solo, Minggu (20/10/2024).
Sementara itu, Kapolri, Jenderal Listyo Sigit Prabowo, menambahkan tugas mereka mengawal Jokowi berjalan lancar, hingga saat ini Jokowi sudah tiba di kediaman.
Jokowi tiba di kediaman Sumber sekira pukul 19.30 WIB. Di sana, Jokowi dan Iriana disambut antusias masyarakat dan sejumlah tokoh.
""Dari rangkaian yang ada, alhamdulilah semua berjalan dengan baik, semua kegiatan pengamanan. Kita tahu dari Kediaman (di Jakarta), MPR, Istana, lanjut Kepulangan Pak Jokowi ke Solo. Walaupun kita tahu semua situasi di lapangan, alhamdulilah sesuai perintah Pak Presiden Prabowo Subianto untuk menjaga, mengawal, mengantar, memastikan semua kegiatan berjalan dengan baik, semua sudah selesai,"" ujar Sigit.
Jokowi disambut euforia masyarakat dari Bandara Adi Soemarmo hingga Kediaman Sumber. Sesampainya di rumah, Panglima TNI dan Kapolri sempat singgah ke dalam rumah Jokowi, saat ditanyai ada acara apa di dalam, Sigit enggan menjelaskan.
""Tanyakan langsung ke beliau (Jokowi). Yang jelas kami secara resmi sudah mengantarkan beliau, dan kami pamit karena semua sudah terlaksana. Beliau sudah sampai, semua berjalan lancar dan kami kembali ke Jakarta,"" pungkasnya."
